{:generation 0, :program (:string_parse_to_chars :string_butlast :string_concat :string_reverse :string_replace_char :boolean_not :string_nth :string_rest :string_indexof_char true :string_remove_char :in1 "" :string_occurencesof_char :exec_dup (:string_iterate (:integer_subtract :boolean_or :string_concat :string_drop :boolean_or :string_iterate (:string_contains_char :boolean_not :string_butlast :string_take :boolean_eq "G")))), :runtime (0.0031817599999999996 0.0031043079999999996 0.0031982760000000003 0.003253908000000002 0.031317096 0.0032623960000000016 0.0031380920000000003), :total-error 2, :amalgamated-error 2.050455836}
{:generation 12, :program (:integer_mult :string_butlast :exec_dup (:boolean_not 0 :boolean_and :string_length :string_eq :string_contains_char :in1 :string_indexof_char :integer_subtract :string_drop :integer_mult :integer_subtract :string_take :boolean_and :string_take :boolean_and :string_take "ABCDEFGHIJKLMNOPQRSTUVWXYZ" :exec_if (:in1 "T" :integer_mult :in1 1 :string_contains :exec_dup (:string_nth :string_parse_to_chars :string_length :in1 :string_remove_char :boolean_not :string_take :integer_quot :string_parse_to_chars 1 :string_length :string_nth :boolean_not "A" :string_contains "ABCDEFGHIJKLMNOPQRSTUVWXYZ" "A" :string_nth :integer_subtract)) ())), :runtime (0.0026449519999999986 0.0032742319999999984 0.00318844 0.0032235280000000015 0.0032489640000000005 0.041300255999999966 0.0032323520000000004), :total-error 0, :amalgamated-error 0.060112723999999965}
{:generation 13, :program (:boolean_not :string_contains :string_reverse :string_rest true :string_length :string_remove_char :boolean_or :string_remove_char :boolean_or :string_iterate (:string_from_char :string_concat :integer_subtract :integer_quot :string_indexof_char :string_eq :string_contains :string_eq :in1 :in1 :string_occurencesof_char :string_contains :string_length :string_butlast 0 :boolean_or true) "G" :string_rest "ABCDEFGHIJKLMNOPQRSTUVWXYZ" :in1 :string_length 0 "" :string_length :exec_if ("T" :string_parse_to_chars :string_iterate (false :integer_subtract :integer_eq :integer_subtract :string_replace_char :string_length :string_rest "C" :in1 :integer_mult :string_contains_char 1)) ()), :runtime (0.003169871999999999 0.003327156000000001 0.003208435999999999 0.003226684000000001 0.0032483160000000002 0.03854840800000002 0.003303388000000001), :total-error 0, :amalgamated-error 0.058032260000000016}
{:generation 14, :program (:boolean_not :string_contains :string_concat :string_rest true :string_length :string_remove_char :boolean_or :string_remove_char :boolean_or :string_iterate (:string_from_char :string_concat :integer_subtract :integer_quot :string_indexof_char :string_eq :string_contains :string_eq :in1 :in1 :string_occurencesof_char :string_contains :string_length :string_butlast 0 :boolean_or true) "G" "ABCDEFGHIJKLMNOPQRSTUVWXYZ" :integer_subtract :in1 :string_length 0 "" :exec_if ("T" :string_parse_to_chars :string_iterate (:integer_subtract :integer_eq :integer_subtract :string_replace_char :string_length :string_rest :in1 :string_contains_char 1)) ()), :runtime (0.03290242399999997 0.0033013080000000015 0.06336026 0.0032418159999999968 0.0033266040000000012 0.003279728000000001 0.003271184000000002), :total-error 0, :amalgamated-error 0.11268332399999996}
{:generation 15, :program (:exec_dup (:boolean_and :boolean_not 0 0 :integer_add :string_length :string_remove_char :integer_eq :boolean_or :boolean_and :string_drop :boolean_and :integer_subtract false :string_concat :string_from_char :string_nth "ABCDEFGHIJKLMNOPQRSTUVWXYZ" 1 "ABCDEFGHIJKLMNOPQRSTUVWXYZ" :integer_add :string_eq :in1 :string_contains_char 1 :string_butlast 0 :boolean_or :string_parse_to_chars :string_length "A" :boolean_not :string_length :integer_add 0 :boolean_not :boolean_not "T" 1 :string_nth :string_from_char "A" :string_replace_char :string_length :string_nth :string_rest :integer_eq :string_parse_to_chars :integer_subtract :in1 :integer_mult :string_contains_char 1)), :runtime (0.003155244 0.0032632879999999983 0.0032625680000000004 0.0032488000000000005 0.0032772879999999997 0.0032702319999999997 0.003150992000000001), :total-error 0, :amalgamated-error 0.022628411999999997}
{:generation 16, :program (true :exec_dup ("A" :boolean_not 0 :string_reverse 0 "C" :boolean_and "ABCDEFGHIJKLMNOPQRSTUVWXYZ" :string_length :string_remove_char :boolean_and "ABCDEFGHIJKLMNOPQRSTUVWXYZ" :string_drop :boolean_and :integer_subtract false :string_from_char :string_concat :string_contains_char "T" :boolean_and 1 :string_nth :string_eq :string_drop 1 :string_butlast :boolean_or :string_parse_to_chars :string_length 1 :string_occurencesof_char :boolean_not :string_occurencesof_char :string_length 0 :string_contains :string_contains :boolean_not :string_indexof_char "T" 1 :string_nth "T" :string_butlast :string_from_char "A" :string_replace_char :string_length :string_nth :string_replace_char :string_indexof_char :in1 :integer_mult :string_contains_char 1)), :runtime (0.003325039999999999 0.0031344199999999984 0.0032586079999999988 0.003283664 0.0033441439999999994 0.0032371279999999993 0.0032960400000000022), :total-error 0, :amalgamated-error 0.022879043999999998}
{:generation 17, :program (:boolean_not :string_parse_to_chars :string_contains :string_rest "T" true :string_drop :string_remove_char "C" :string_remove_char :boolean_or :string_from_char :string_concat :integer_subtract :integer_quot :string_indexof_char :string_contains :string_eq :in1 :string_occurencesof_char :string_contains :string_remove_char :string_parse_to_chars :string_length :boolean_or true "G" "ABCDEFGHIJKLMNOPQRSTUVWXYZ" :in1 :string_length 0 "" :boolean_not "T" :string_parse_to_chars :string_iterate (:integer_quot :integer_subtract :integer_subtract :integer_mult :exec_dup (:string_replace_char "A" :string_length "A" :string_rest :string_nth :in1 :string_contains_char "C" 1))), :runtime (0.003255928000000001 0.003334724000000001 0.0031986640000000004 0.06337871600000002 0.003284084 0.003269415999999999 0.0032021880000000008), :total-error 0, :amalgamated-error 0.08292372000000002}
{:generation 18, :program (:string_remove_char :in1 :string_contains :string_contains "A" :string_replace_char :string_parse_to_chars :string_butlast :string_eq :string_drop :string_parse_to_chars :integer_subtract :string_rest :exec_dup (:integer_subtract :exec_dup (:in1 :integer_mult :string_contains :string_replace_char :string_remove_char :string_concat "T" :in1 1 :string_nth :exec_dup (:integer_subtract "T" "" :string_remove_char :integer_eq :string_iterate ("A" :string_take :string_rest :string_contains true :string_take :string_rest :string_reverse "C" :boolean_not :string_concat :boolean_not :string_concat :string_indexof_char :string_eq :string_drop :string_contains :boolean_or :string_iterate (:string_parse_to_chars :in1 :integer_mult :string_replace_char :string_occurencesof_char 1 :string_contains :boolean_eq :string_eq)))))), :runtime (0.0032036920000000023 0.0031752359999999997 0.0032875359999999993 0.003241251999999999 0.003326140000000001 0.003374603999999999 0.003329292000000001), :total-error 0, :amalgamated-error 0.022937752000000002}
{:generation 19, :program ("" :exec_dup (:boolean_and :boolean_not 0 0 :string_length :string_rest :integer_eq :boolean_or :boolean_and :string_drop :string_from_char false :string_concat :string_from_char "ABCDEFGHIJKLMNOPQRSTUVWXYZ" 1 :string_eq "ABCDEFGHIJKLMNOPQRSTUVWXYZ" :integer_add :string_eq :in1 :string_contains_char 1 :string_butlast 0 :boolean_or :string_length :boolean_not :string_length :string_rest :string_eq :integer_add 0 :boolean_not :in1 "T" 1 :string_nth :string_replace_char :string_length :string_nth :boolean_or :string_rest :integer_eq :integer_mult :string_parse_to_chars 1 :integer_subtract :string_length :in1 :string_contains_char 1)), :runtime (0.0032045720000000006 0.0032819119999999975 0.003357544000000001 0.003271436000000001 0.003251916 0.0032495560000000024 0.028445259999999997), :total-error 0, :amalgamated-error 0.048062196}
{:generation 20, :program (:exec_dup (:in1 :string_contains :integer_mult :string_length 0 :string_replace_char :string_contains :string_length "A" :string_eq "" :string_parse_to_chars :integer_subtract :boolean_or :string_take :string_take) "A" :string_parse_to_chars false 1 :exec_dup (:string_butlast "ABCDEFGHIJKLMNOPQRSTUVWXYZ" :string_iterate (:string_contains 1 :string_concat "A" "T" :in1 1) :string_butlast :string_nth :boolean_or :integer_subtract :string_contains :string_contains_char :string_remove_char :integer_eq :string_contains :string_iterate ("A" :string_take :string_rest :string_contains :integer_quot :string_length :string_contains_char "" :integer_quot :boolean_not :boolean_not :string_contains "A" :string_contains :string_indexof_char 0 :string_nth :string_rest 0 "T" :integer_mult :string_contains_char) :string_occurencesof_char :string_eq)), :runtime (0.003285184000000001 0.0032244680000000007 0.0031649639999999975 0.0031534040000000003 0.003216240000000001 0.003273660000000001 0.0032634200000000026), :total-error 0, :amalgamated-error 0.022581340000000005}
{:generation 21, :program (:integer_add :boolean_not 1 :integer_add :string_iterate (:string_rest "T" :string_remove_char :string_contains_char "A" :integer_subtract :string_remove_char :boolean_or :string_drop :string_occurencesof_char) :boolean_or "T" 1 false :integer_subtract "C" :integer_subtract 1 :string_indexof_char "ABCDEFGHIJKLMNOPQRSTUVWXYZ" "T" :string_nth :string_parse_to_chars "T" :string_iterate (:string_contains 1 :string_parse_to_chars :in1 :string_contains :string_contains_char :string_from_char :string_replace_char :in1 :integer_add :string_indexof_char :string_from_char "T" :string_iterate (:string_length :string_replace_char :string_contains :string_drop :integer_mult :in1 :string_contains_char :string_parse_to_chars))), :runtime (0.003233104000000001 0.0031430840000000013 0.03597837600000001 0.003285507999999999 0.0031759159999999995 0.0032118360000000005 0.0032179080000000015), :total-error 0, :amalgamated-error 0.05524573200000002}
{:generation 22, :program ("C" "T" :boolean_not :string_eq 0 0 :string_length :string_rest :integer_eq :string_remove_char :boolean_and :integer_eq false :integer_mult :boolean_and :string_concat :integer_subtract :string_contains :string_eq :string_take "" :string_butlast :string_contains_char :string_occurencesof_char :string_concat 0 :string_length :string_rest :integer_add :string_rest 0 :string_parse_to_chars :string_nth :integer_subtract :string_occurencesof_char :string_nth :string_rest :string_length 0 "" :boolean_or :string_parse_to_chars :string_rest "T" :string_nth :integer_mult "A" :string_contains :integer_subtract :string_length :in1 :string_contains_char :integer_subtract :in1), :runtime (0.0032276880000000003 0.003224772000000001 0.0033342600000000016 0.003162528 0.0032337759999999994 0.0032271240000000005 0.0031628959999999992), :total-error 0, :amalgamated-error 0.022573044000000004}
{:generation 23, :program (:exec_dup (:boolean_and :boolean_not :string_eq 0 0 :integer_eq :boolean_and :string_drop false 1 :string_iterate (:string_from_char "ABCDEFGHIJKLMNOPQRSTUVWXYZ" false 1 "ABCDEFGHIJKLMNOPQRSTUVWXYZ" :integer_add) :string_eq :integer_add :in1 :string_occurencesof_char :string_contains_char 1 :string_butlast :boolean_not :integer_add :string_eq :string_rest 0 :boolean_not "T" 1 :string_nth :string_replace_char :string_length :string_nth :boolean_or :string_rest 1 :string_length :in1 :string_contains_char)), :runtime (0.0031954 0.0032516359999999987 0.003274536000000001 0.0032110320000000012 0.003165228 0.003214571999999998 0.0032873280000000004), :total-error 0, :amalgamated-error 0.022599731999999997}
{:generation 24, :program (:exec_dup (0 :exec_if (:string_length :exec_dup (:string_rest :integer_eq :boolean_and :string_drop :string_contains_char :string_from_char false "ABCDEFGHIJKLMNOPQRSTUVWXYZ" :string_drop 1 "ABCDEFGHIJKLMNOPQRSTUVWXYZ" :string_eq 1 :string_butlast 0 :string_length :string_rest :string_eq 0 :boolean_not "T" :string_nth :in1 :string_replace_char "T" :integer_add :string_length :boolean_or :integer_mult :integer_eq :exec_dup (:string_rest :string_eq :string_length :in1 :string_contains_char))) ())), :runtime (0.0032605880000000013 0.0032393320000000006 0.0031613439999999995 0.003275027999999999 0.061966860000000006 0.003207464000000001 0.0032361559999999987), :total-error 0, :amalgamated-error 0.08134677200000001}
{:generation 25, :program (:exec_dup (:string_contains_char 0 0 :integer_subtract :string_rest :string_contains_char :string_contains :boolean_and "G" :in1 :string_from_char false :boolean_eq 1 :boolean_and :string_nth :string_indexof_char :string_remove_char "T" "" "ABCDEFGHIJKLMNOPQRSTUVWXYZ" "G" :in1 :string_take :string_nth :boolean_or :integer_add :string_parse_to_chars :integer_add :string_length "ABCDEFGHIJKLMNOPQRSTUVWXYZ" 1 "G" 1 :exec_dup (:string_contains :string_contains :string_butlast :boolean_or :string_parse_to_chars :string_remove_char 1 :string_length :exec_dup ("T" :in1 :integer_subtract :string_drop)))), :runtime (0.0031808839999999997 0.00315442 0.003224492000000003 0.0032369360000000006 0.0032561280000000005 0.0032287719999999995 0.003147899999999999), :total-error 0, :amalgamated-error 0.022429532}
{:generation 26, :program (:string_drop :string_eq :integer_add 0 :string_iterate (:string_rest :boolean_or :integer_eq :string_from_char 0 false :string_from_char 1 :string_reverse 1 :string_occurencesof_char :integer_add :boolean_or :string_contains_char :integer_subtract "C" :in1 :string_length :integer_eq "A" :integer_mult :string_rest :boolean_not :string_nth :string_parse_to_chars "T" :string_iterate (:string_nth "" :integer_quot :string_length "T" :in1 :integer_mult :integer_subtract :in1 :string_contains_char :integer_mult :integer_mult :string_parse_to_chars :string_iterate (:string_drop)))), :runtime (0.01274550400000001 0.0033002879999999997 0.003249447999999999 0.003314936 0.0032771920000000026 0.0033151840000000027 0.0032457240000000015), :total-error 0, :amalgamated-error 0.03244827600000001}
{:generation 27, :program (:integer_eq :string_contains_char :string_reverse :string_rest :exec_if (:string_contains false :string_from_char "ABCDEFGHIJKLMNOPQRSTUVWXYZ" 1 :string_reverse 1 :integer_add "A" false :in1 :string_contains_char 1 :boolean_eq :string_length "A" :integer_mult :string_rest :integer_add :string_eq :boolean_not "T" 1 :string_nth :string_replace_char :integer_subtract "" :boolean_or :integer_eq :string_rest "A" :string_rest :integer_mult :integer_subtract :boolean_eq false :in1 :string_contains_char "C" :string_rest) ()), :runtime (0.0031487359999999996 0.003210443999999999 0.0031958440000000024 0.0032445439999999976 0.003216707999999999 0.003233556000000001 0.003207852000000001), :total-error 0, :amalgamated-error 0.022457684000000002}
{:generation 28, :program ("C" :boolean_or 0 0 :string_contains_char :boolean_and :boolean_and :boolean_not false :integer_mult :string_contains false :string_concat :string_remove_char :boolean_or :string_contains_char "A" :string_eq :string_contains 1 :integer_eq :string_nth false 1 :string_concat :string_nth 0 :string_nth 0 :boolean_or :string_occurencesof_char :string_concat :string_length :integer_subtract :boolean_not :string_rest 0 :boolean_or "G" "G" :string_contains_char "T" "T" :integer_mult :string_indexof_char 1 :string_parse_to_chars :exec_dup (:in1 :string_contains)), :runtime (0.003282656000000002 0.00326678 0.0031701720000000015 0.001870227999999999 0.002669428000000001 0.0018665039999999995 0.0027973400000000006), :total-error 0, :amalgamated-error 0.018923108}
{:generation 29, :program (:string_eq 0 :string_iterate (:string_rest :boolean_or :integer_eq :string_from_char 0 :integer_subtract false :string_from_char :boolean_not :string_occurencesof_char :integer_add :boolean_or :string_nth :string_contains_char :string_occurencesof_char :integer_subtract "C" :string_eq :in1 :string_length :integer_eq :string_rest :string_reverse :string_nth "T" :string_contains_char :string_iterate (:string_nth :integer_quot) :string_length :in1 "T" 1 :in1 :integer_mult :integer_subtract :string_contains_char :integer_mult :integer_mult :string_parse_to_chars :string_iterate (:string_drop))), :runtime (0.003151104000000001 0.0033037880000000006 0.003233291999999997 0.0031602759999999996 0.003207128 0.003260571999999999 0.0031475400000000003), :total-error 0, :amalgamated-error 0.0224637}
{:generation 30, :program (0 :integer_mult :exec_if (:boolean_or "" :string_from_char false :boolean_and :string_reverse :boolean_or :integer_subtract :integer_quot :string_contains_char :string_eq :string_contains_char) (:in1 :string_length :integer_eq :in1 :boolean_and :string_reverse :string_nth :string_replace_char :string_contains_char :string_parse_to_chars "T" 0 :string_take :string_butlast :string_length "ABCDEFGHIJKLMNOPQRSTUVWXYZ" :string_occurencesof_char :string_occurencesof_char :string_length :in1 "T" :integer_mult :string_length :string_parse_to_chars :string_drop :boolean_or :integer_eq "T" :in1 :string_contains)), :runtime (0.0032168679999999995 0.0031885600000000026 0.0032462480000000006 0.0032131279999999987 0.0031799 0.0032122080000000024 0.00321316), :total-error 0, :amalgamated-error 0.022470072000000004}
{:generation 31, :program (:string_eq :string_eq 0 :string_contains :string_nth :string_nth :string_rest :boolean_and :string_from_char :string_contains_char :string_remove_char false :string_parse_to_chars :string_from_char "C" :string_eq :string_rest "A" 1 :string_remove_char :string_parse_to_chars :string_length :string_rest :integer_add :string_replace_char :boolean_or :string_indexof_char :string_length :string_take :string_length :integer_quot :integer_mult "T" "T" :integer_add :string_rest :boolean_not "T" :integer_eq :integer_subtract :string_nth :string_contains false :string_rest :string_length :in1 :string_contains_char 1 :string_take), :runtime (0.003281839999999999 0.0032453599999999984 0.0033259719999999995 0.003223352 0.003221880000000002 0.029945336 0.0031429879999999993), :total-error 0, :amalgamated-error 0.049386728}
{:generation 32, :program (:exec_if (:string_eq :string_concat 0 :string_remove_char :string_rest true :boolean_eq :boolean_and :in1 0 :string_replace_char :integer_eq :string_length :boolean_and :string_length :string_eq :exec_dup (:boolean_and :string_from_char :string_remove_char :integer_mult 0 :integer_quot :string_reverse :integer_mult :boolean_not false "ABCDEFGHIJKLMNOPQRSTUVWXYZ" 0 :string_length :string_eq :boolean_not :string_length :string_nth :string_drop "T" :boolean_and 1 :string_contains_char :string_butlast 1 :string_drop :string_contains :exec_dup (:string_contains :integer_quot :string_nth) :string_butlast :boolean_not :boolean_or false :integer_mult :in1 :string_contains_char "T" :string_iterate (:string_from_char :in1 "T" :in1 :string_contains ""))) ()), :runtime (0.003258208000000001 0.0018411759999999997 0.003277287999999999 0.0032007200000000015 0.0032526800000000004 0.003256808 0.0032349479999999996), :total-error 0, :amalgamated-error 0.021321828}
