{:generation 0, :program (:integer_mult :string_replace_char :exec_if (:boolean_not :string_contains :string_contains :boolean_and true :string_from_char :string_concat :integer_subtract "(" :string_eq true :string_take) (:string_replace_char :in1 :string_concat :string_remove_char :boolean_or :string_parse_to_chars :string_parse_to_chars "(" :boolean_eq :string_replace_char :string_rest :integer_quot :string_indexof_char :string_remove_char :string_contains :string_take :string_iterate (:integer_eq :boolean_and :string_occurencesof_char false :integer_quot :string_iterate (false :integer_subtract :string_remove_char :string_concat :integer_mult :string_drop :string_drop :exec_dup (:string_drop :exec_if (false :string_rest :integer_add 1 :in1) (:string_drop :integer_quot :string_reverse :string_reverse)))))), :runtime (0.0032428440000000017 0.003239211999999999 0.0031034320000000006 0.0019350280000000003 0.001873572 0.001903579999999999 0.0018570439999999989), :total-error 2, :amalgamated-error 2.017154712}
{:generation 11, :program (:integer_mult "(" :string_take :string_contains :string_reverse :boolean_and :string_replace_char :boolean_eq :string_from_char :integer_subtract :string_eq :string_length :boolean_and :string_nth :integer_add "(" :exec_dup (:boolean_or :string_from_char :integer_quot false "(" :string_from_char 1 :string_parse_to_chars :boolean_not :integer_subtract :integer_quot "(" 1 :integer_eq true :integer_quot) :string_contains_char :in1 :string_butlast :string_eq :in1 :exec_dup (:integer_mult :integer_subtract :integer_subtract)), :runtime (0.0028878679999999996 0.002212284000000002 0.0032227679999999996 0.0032185440000000003 0.0032412239999999996 0.0032072080000000005 0.003257912), :total-error 1, :amalgamated-error 1.021247808}
{:generation 12, :program (:integer_mult "(" :string_eq :string_iterate (:string_contains :boolean_and :boolean_eq :string_remove_char :string_from_char :string_reverse :string_drop :string_length :integer_add) :string_nth :string_contains_char :exec_dup (:boolean_or false :string_from_char 1 :string_parse_to_chars :integer_quot true "(" :integer_subtract 1 :integer_eq :string_remove_char :integer_quot) :in1 :string_butlast :string_eq :string_reverse :string_parse_to_chars :in1 :exec_dup (:integer_mult :integer_subtract)), :runtime (0.00328938 0.0032117359999999976 0.0032414520000000006 0.009062196000000008 0.0032736240000000023 0.0033242920000000013 0.0032473479999999967), :total-error 1, :amalgamated-error 1.028650028}
{:generation 13, :program (:string_rest :string_take :string_rest false :string_replace_char false :string_indexof_char :in1 :boolean_or :string_occurencesof_char :string_rest :exec_dup (:exec_dup (:boolean_eq :string_occurencesof_char :string_nth "(" :string_length :boolean_or :integer_subtract :string_replace_char 0 :string_iterate (:string_length :integer_eq ")" :string_length :string_replace_char :integer_quot :string_parse_to_chars :string_contains_char :string_eq :string_from_char :string_nth :string_contains_char) :boolean_eq) :boolean_eq :string_occurencesof_char :string_nth :string_drop :string_reverse 1 :in1 :string_contains_char :string_contains :string_from_char :string_nth false)), :runtime (0.00316916 0.003245999999999998 0.003166812000000001 0.001916999999999999 0.001845895999999999 0.0018487239999999982 0.001900803999999999), :total-error 1, :amalgamated-error 1.017094396}
{:generation 14, :program (:string_rest ")" :boolean_not :integer_add false :string_iterate (true :boolean_or :string_occurencesof_char :string_rest :string_parse_to_chars :exec_dup (:boolean_eq ")" :string_nth :string_parse_to_chars :string_length :boolean_or :string_reverse :string_replace_char ")" :string_butlast :string_length :string_length ")" ")" :string_rest :integer_quot :string_parse_to_chars :string_contains_char 0) :string_nth :integer_quot) :string_rest :boolean_eq :string_occurencesof_char :string_remove_char :string_drop :string_reverse :boolean_and :in1 1 :string_iterate (:string_remove_char :string_nth false :boolean_and :string_eq :integer_subtract ")")), :runtime (0.003294287999999999 0.003264084000000001 0.0032042440000000024 0.003193764000000003 0.003187824000000001 0.008004803999999997 0.0032469200000000004), :total-error 1, :amalgamated-error 1.027395928}
{:generation 15, :program (:integer_mult "(" :string_concat :string_iterate (false) :string_from_char :string_concat :string_drop :string_nth :exec_dup (:boolean_or :string_indexof_char false :string_from_char :string_eq :string_parse_to_chars true "(" :integer_subtract 1 :integer_eq :string_remove_char :integer_quot) :in1 :string_butlast :string_eq :string_reverse :in1 :exec_dup (:string_concat)), :runtime (0.003050008 0.001854716 0.0032477519999999983 0.003273835999999999 0.0033025759999999998 0.0033120200000000023 0.003304171999999997), :total-error 1, :amalgamated-error 1.02134508}
{:generation 16, :program (:boolean_eq :integer_mult :integer_subtract "(" :boolean_eq :boolean_eq :string_eq :string_iterate (:string_contains) :string_remove_char ")" :string_from_char :string_concat :string_drop :integer_add ")" :string_concat true :string_nth 0 :string_nth :string_contains_char :exec_dup (:boolean_or 1 :string_length :string_eq :boolean_eq "(" :string_remove_char :string_contains :integer_quot) :in1 :string_butlast :string_eq :string_reverse :in1 :string_iterate (:exec_dup (:string_rest :integer_quot :string_concat :integer_subtract))), :runtime (0.0032189199999999992 0.0032677480000000004 0.0031993760000000007 0.003295504000000001 0.0032348199999999976 0.003133871999999999 0.0032215280000000026), :total-error 1, :amalgamated-error 1.022571768}
{:generation 17, :program (:integer_mult :string_eq :string_iterate (:exec_dup (:string_from_char :string_concat :integer_add ")" true :string_concat :string_replace_char) :string_nth :exec_dup (:boolean_or :string_nth 1 :string_eq :boolean_eq :string_parse_to_chars "(" :integer_subtract :boolean_not 1 :integer_eq :string_remove_char) :in1 :string_butlast :string_eq :string_indexof_char :string_nth :string_reverse :in1 :string_rest)), :runtime (0.003263368000000001 0.003295075999999998 0.003240112000000003 0.002251495999999999 0.0019360839999999998 0.001938604 0.0026927799999999997), :total-error 1, :amalgamated-error 1.01861752}
{:generation 18, :program (:boolean_or :string_replace_char :string_contains 1 :string_drop ")" :string_drop 1 "(" :string_parse_to_chars :boolean_and :string_length :in1 :boolean_not 0 :string_iterate (:boolean_not) :string_nth false :string_parse_to_chars :in1 :exec_dup (:exec_dup (:string_butlast :boolean_and :string_take :exec_dup (:boolean_or :string_drop false :string_butlast :boolean_not :boolean_and :integer_quot :string_reverse :string_from_char :boolean_or "(" false :string_contains :string_butlast :string_take :string_contains_char :integer_mult 1 :string_indexof_char :exec_dup (:string_butlast ")" false))))), :runtime (0.0031846919999999976 0.0033133279999999986 0.003243380000000001 0.0033139639999999982 0.003242660000000002 0.003363684000000002 0.0033285640000000013), :total-error 0, :amalgamated-error 0.022990272000000003}
{:generation 19, :program (:string_rest "(" :string_eq false :string_from_char :string_concat :string_indexof_char :exec_dup (true false :string_eq :string_parse_to_chars true "(" :integer_subtract 1 :integer_eq :string_replace_char :string_remove_char :integer_quot "(" :boolean_not :integer_mult :in1 :string_butlast :string_eq :integer_mult :string_reverse :string_from_char :string_concat "(")), :runtime (0.001901408 0.0018273759999999995 0.0018743160000000002 0.0018364159999999994 0.001819295999999999 0.0018082039999999992 0.0018647920000000003), :total-error 1, :amalgamated-error 1.012931808}
{:generation 20, :program (:boolean_or :string_nth :string_rest :string_iterate (:string_from_char :string_concat :string_drop :string_indexof_char true :string_drop true false :string_remove_char :exec_dup (:string_eq :string_parse_to_chars true "(" :integer_subtract :string_rest :integer_eq :string_remove_char :string_eq 1 :integer_quot :string_eq "(" :boolean_not :integer_eq :in1 :string_butlast :string_eq :string_reverse :string_from_char :exec_dup (:string_concat)))), :runtime (0.003147132000000001 0.003159291999999998 0.0018521520000000001 0.0031787319999999992 0.0031138559999999977 0.0032478959999999992 0.00321526), :total-error 1, :amalgamated-error 1.02091432}
{:generation 21, :program (:integer_mult :string_parse_to_chars :string_drop true :string_from_char :string_concat :string_drop true ")" true :string_concat :string_nth :string_contains_char :exec_dup (:integer_eq :boolean_or 1 :exec_dup (:string_reverse :boolean_or :boolean_eq :string_remove_char :boolean_eq :string_parse_to_chars :boolean_not "(" :integer_subtract :boolean_or :integer_subtract :integer_subtract :integer_eq :in1 :string_butlast :boolean_and :string_eq :string_indexof_char :string_reverse :in1 :string_remove_char :string_rest :integer_subtract))), :runtime (0.0032326160000000015 0.0032464039999999987 0.0032169759999999986 0.0031310560000000006 0.0032295360000000007 0.002816168 0.003147536), :total-error 1, :amalgamated-error 1.022020292}
{:generation 22, :program (:string_reverse :integer_subtract :integer_subtract :integer_add :boolean_and :string_eq :string_drop :string_reverse ")" :integer_mult ")" :integer_subtract ")" :exec_dup (:integer_add :string_butlast ")" :integer_quot :string_from_char :string_length :boolean_and :string_remove_char :string_length :boolean_and :string_contains_char :exec_dup (false :string_concat :string_contains :string_remove_char :integer_eq :string_remove_char :string_iterate (false false :string_butlast :in1 :string_remove_char) :string_contains :string_from_char :string_eq :integer_add :string_contains :integer_subtract))), :runtime (0.003137376000000001 0.0032607839999999988 0.05352819199999999 0.0031934959999999997 0.003160859999999999 0.0032199959999999975 0.0032214520000000005), :total-error 0, :amalgamated-error 0.072722156}
{:generation 23, :program ("(" "(" false :string_replace_char :string_butlast :string_concat :string_drop :string_indexof_char :integer_quot :string_drop "(" "(" :exec_dup (:exec_dup (:string_indexof_char :string_indexof_char :boolean_and :exec_dup (:integer_add :boolean_or :integer_quot "(" :boolean_not :string_rest :string_contains :in1 :boolean_and :string_contains_char :string_butlast :exec_dup (:integer_mult :string_take :string_eq :string_parse_to_chars :string_parse_to_chars "("))))), :runtime (0.003286123999999997 0.003238068000000002 0.0032543560000000003 0.003244803999999998 0.003264379999999999 0.010047519999999997 0.0032417199999999996), :total-error 0, :amalgamated-error 0.029576971999999997}
{:generation 24, :program (:string_rest :integer_quot :string_length :exec_dup (:string_concat :string_occurencesof_char) :boolean_or :string_iterate (true :integer_quot :string_concat :string_iterate (:string_iterate (:boolean_or "(" "(" :boolean_or :integer_subtract :boolean_eq :string_eq :string_from_char :exec_dup (:integer_quot :string_drop :in1 :string_drop :string_butlast :string_eq :string_reverse "("))))), :runtime (0.0031989199999999996 0.0021273240000000003 0.001919491999999999 0.0018320199999999997 0.0018715519999999994 0.0018862679999999993 0.0018844920000000002), :total-error 1, :amalgamated-error 1.014720068}
{:generation 25, :program (1 0 :integer_mult :string_replace_char :string_indexof_char :string_butlast :string_drop :integer_mult :string_rest :string_indexof_char :string_eq :boolean_eq false "(" :in1 :string_butlast :integer_subtract :integer_add :string_iterate (:string_reverse :string_from_char :boolean_not :string_eq :exec_dup (:integer_subtract ")" :string_contains :boolean_and false :exec_if (0) ()))), :runtime (0.0032325520000000014 0.003299136 0.0032564719999999994 0.07936121200000003 0.0032182879999999997 0.003154823999999997 0.0018232799999999992), :total-error 0, :amalgamated-error 0.09734576400000003}
{:generation 26, :program (:integer_eq :string_parse_to_chars :exec_dup (:string_indexof_char :string_length 0 :string_rest) :string_from_char :boolean_and :string_drop true ")" true :string_rest :boolean_not :string_nth :string_contains_char :exec_dup (:integer_eq :string_rest :boolean_or 1 :exec_dup (:boolean_and :boolean_or :string_contains :string_indexof_char :boolean_eq :string_remove_char :boolean_eq :string_parse_to_chars) :string_nth :string_parse_to_chars :boolean_not :exec_dup ("(" :integer_subtract :boolean_or :integer_subtract :integer_subtract :in1 :integer_quot :string_butlast :string_eq :string_indexof_char ")" :string_reverse :in1 :string_rest :integer_subtract))), :runtime (0.0032471679999999973 0.003264152000000001 0.0032438280000000016 0.0032553479999999995 0.0026270199999999986 0.001905248 0.0018333160000000013), :total-error 1, :amalgamated-error 1.01937608}
{:generation 27, :program (1 :string_contains :integer_mult :string_length :string_length :string_indexof_char :string_concat :string_drop :string_indexof_char true true :string_from_char :string_from_char false ")" :integer_quot :in1 :string_drop :string_eq :boolean_not :integer_add :string_contains :string_butlast :in1 :exec_dup (:string_contains :string_parse_to_chars ")" ")" :string_eq ")" :string_concat) :string_eq :boolean_and :string_occurencesof_char :string_indexof_char :string_drop :integer_subtract :exec_dup (:integer_quot :string_replace_char :string_reverse)), :runtime (0.0031648960000000025 0.001982931999999999 0.0018313439999999993 0.0018344199999999994 0.001824259999999999 0.0018273679999999994 0.0018724079999999992), :total-error 1, :amalgamated-error 1.014337628}
{:generation 28, :program (:integer_mult :string_parse_to_chars :string_rest :string_from_char :string_drop true :string_indexof_char :exec_dup () :string_concat :string_drop :string_parse_to_chars true ")" true :string_rest :boolean_not :string_contains :string_rest :string_nth :boolean_not :exec_dup (:string_occurencesof_char :boolean_or :exec_dup (0 :string_reverse :boolean_or :string_contains :string_contains :boolean_eq :string_contains :boolean_eq :string_contains :string_parse_to_chars "(" :integer_subtract :string_parse_to_chars :integer_subtract :string_indexof_char true :in1 :string_butlast :boolean_and :string_eq :string_from_char :string_indexof_char :string_reverse :in1 :string_rest :string_take 0 :string_drop))), :runtime (0.003214307999999998 0.00329252 0.003262324000000001 0.003189004000000001 0.0031162920000000014 0.0018350719999999999 0.0018308159999999997), :total-error 1, :amalgamated-error 1.019740336}
{:generation 29, :program (:string_rest :integer_quot :exec_dup (:string_parse_to_chars :string_concat) :boolean_or :string_iterate (true :string_concat :string_iterate (:string_iterate (:boolean_or :boolean_or "(" "(" :boolean_or 1 :string_contains :boolean_or :integer_subtract :string_take :boolean_eq :string_eq :exec_dup (:string_take :in1 :string_butlast :string_eq :integer_eq "("))))), :runtime (0.0033120720000000005 0.0032567000000000026 0.0032486839999999995 0.0033680560000000025 0.0031393440000000005 0.0026511320000000005 0.0018877799999999995), :total-error 1, :amalgamated-error 1.020863768}
{:generation 30, :program (")" :string_contains_char 1 :integer_subtract false :boolean_and :string_from_char 1 :string_eq :string_drop :string_indexof_char true :string_contains :boolean_not :integer_mult :boolean_not :string_eq "(" false false :in1 false :string_remove_char :exec_dup (:string_contains_char :string_indexof_char :exec_dup (:string_contains :integer_quot :string_eq "(" :in1 :string_remove_char :string_butlast :string_eq :string_reverse :string_reverse))), :runtime (0.001941007999999999 0.0018294999999999995 0.001833263999999999 0.0018335959999999988 0.0018299519999999993 0.0018197479999999995 0.0018400880000000001), :total-error 1, :amalgamated-error 1.012927156}
{:generation 31, :program (:string_rest :boolean_and :exec_if (:integer_add "(" :string_remove_char :string_reverse :string_drop :string_iterate (:string_contains_char :string_replace_char :integer_subtract :string_drop :integer_subtract :string_iterate (:string_parse_to_chars :string_eq :string_from_char ")" :string_rest :integer_subtract :string_concat :string_eq :string_remove_char :integer_mult :in1 :string_rest "(" :string_length :string_reverse "(" :string_remove_char :boolean_and :in1 :string_butlast :string_eq :string_contains_char))) ()), :runtime (0.0032304079999999993 0.002688095999999999 0.0018758759999999988 0.00281754 0.003181124 0.0031801879999999987 0.0032104240000000012), :total-error 1, :amalgamated-error 1.020183656}
{:generation 32, :program (:string_rest :boolean_and :exec_if (:integer_add "(" :string_remove_char :string_reverse :string_drop :string_iterate (:string_contains_char :string_replace_char :integer_subtract :string_drop :integer_subtract :string_iterate (:string_parse_to_chars :string_eq ")" :integer_subtract :boolean_or :string_concat :string_eq :string_remove_char :integer_mult :in1 :string_rest "(" :integer_subtract :string_length :string_reverse "(" :string_remove_char :boolean_and :in1 :string_butlast :string_eq :string_contains_char))) ()), :runtime (0.0018315800000000006 0.0018867079999999997 0.0023539039999999995 0.0031922479999999987 0.0032036200000000008 0.0032257040000000037 0.0032474799999999996), :total-error 1, :amalgamated-error 1.018941244}
{:generation 33, :program ("(" :integer_subtract :integer_add 1 :integer_quot :boolean_not :boolean_and :string_parse_to_chars :string_contains false :string_contains_char ")" :integer_quot :string_parse_to_chars :boolean_and "(" :integer_quot :string_take :in1 :string_indexof_char :string_butlast :string_eq :exec_dup (:string_remove_char)), :runtime (0.0031966080000000014 0.0018853200000000009 0.0018284719999999998 0.0018293320000000004 0.0018857759999999994 0.0018940640000000009 0.0018260679999999988), :total-error 1, :amalgamated-error 1.01434564}
{:generation 34, :program (:string_rest :exec_if (:integer_add "(" :string_reverse true :string_drop :boolean_eq :string_iterate (true :string_contains_char :string_take :string_length :string_replace_char :integer_subtract :string_replace_char :string_iterate (:string_contains_char :string_eq :exec_if (:string_rest :boolean_and :exec_dup (:string_drop :integer_subtract :string_reverse :string_eq :integer_quot :integer_mult 1 :in1 :boolean_eq ")" :string_replace_char "(" :string_length :integer_add :string_contains_char "(" :string_remove_char :boolean_and :boolean_or :in1 :string_butlast :string_eq :string_contains_char)) ()))) ()), :runtime (0.0031544840000000004 0.0031944359999999984 0.0019006199999999996 0.0019063199999999995 0.0018514120000000002 0.001886059999999999 0.001886575999999999), :total-error 1, :amalgamated-error 1.015779908}
{:generation 35, :program (:string_rest :exec_if (:string_occurencesof_char :string_drop :string_contains_char 1 :string_drop :string_butlast :string_drop :integer_subtract :string_occurencesof_char :string_from_char :integer_quot :string_eq 1 :string_contains_char :string_remove_char 1 :integer_eq :string_parse_to_chars :integer_add "(" :string_eq false :string_remove_char :in1 :string_occurencesof_char :boolean_not "(" :string_take false :string_butlast :string_eq :string_concat 0 :string_remove_char :integer_quot :boolean_eq :string_parse_to_chars "(" true :in1 :string_indexof_char :string_butlast :string_eq) ()), :runtime (0.0027075400000000005 0.0018308839999999983 0.0018322200000000005 0.0018842960000000001 0.0019104839999999998 0.0018743080000000014 0.0018236279999999997), :total-error 1, :amalgamated-error 1.01386336}
{:generation 36, :program (:string_rest :string_concat :boolean_and :string_contains_char "(" :boolean_not 1 :string_parse_to_chars :integer_subtract :integer_subtract 1 "(" :string_contains_char :exec_dup (:string_iterate ("(" :integer_quot :string_take :string_parse_to_chars :string_eq :string_eq :string_butlast :string_parse_to_chars :integer_eq :integer_add :integer_eq :string_remove_char :in1 :string_butlast :string_replace_char :string_eq :integer_quot :in1 :string_eq :string_reverse :in1 :string_butlast :string_reverse))), :runtime (0.0032537639999999975 0.003276279999999999 0.0033182920000000005 0.0032973079999999984 0.0018551320000000002 0.0019096080000000012 0.0019211919999999993), :total-error 1, :amalgamated-error 1.018831576}
{:generation 37, :program (:string_contains_char :integer_subtract :string_reverse :string_length :boolean_or :string_rest true 1 :string_contains :string_replace_char ")" :string_remove_char :string_from_char :string_iterate (true :integer_quot :exec_dup (:string_parse_to_chars :integer_add :string_eq :exec_if (true false :string_contains_char :string_concat :integer_quot :integer_quot :string_nth :string_length :string_remove_char :integer_subtract "(" :in1 :string_butlast :string_eq :string_reverse) ()))), :runtime (0.002230668 0.0018216079999999995 0.0018250240000000006 0.001835484 0.0018767960000000002 0.0019182560000000003 0.0018742440000000006), :total-error 1, :amalgamated-error 1.01338208}
{:generation 38, :program (:string_rest :integer_eq :string_butlast :integer_quot :string_nth :integer_mult :integer_add :string_replace_char :boolean_not :exec_if (:integer_subtract :string_drop :string_from_char :boolean_not true :string_contains :string_nth :string_length :integer_mult :string_butlast :string_take :integer_quot :string_contains_char "(" :string_nth :string_indexof_char :string_eq :string_parse_to_chars :string_iterate (:in1 :string_butlast :string_eq :string_eq :string_take "(" :in1 :string_butlast :string_eq ")" :string_drop)) ()), :runtime (0.003266651999999998 0.0019100920000000006 0.001944528 0.0018555719999999985 0.0018472119999999985 0.001847092 0.001910343999999999), :total-error 1, :amalgamated-error 1.014581492}
{:generation 39, :program (:integer_eq :string_iterate (:integer_subtract) :string_occurencesof_char :string_indexof_char :string_drop :string_take :string_remove_char true :string_concat :string_drop :in1 :in1 false :integer_mult :string_occurencesof_char :string_nth :boolean_and :string_concat :string_rest :string_butlast false "(" :string_indexof_char 1 :in1 1 :string_take :string_from_char :string_rest :string_take :string_length true :string_rest :string_eq false :integer_subtract :string_reverse "(" :in1 :integer_subtract :string_butlast :string_eq "(" :integer_subtract), :runtime (0.003027976000000001 0.0018210599999999998 0.0018864159999999997 0.001891964 0.0018947839999999988 0.0018104279999999998 0.0018252960000000001), :total-error 1, :amalgamated-error 1.014157924}
{:generation 40, :program (:string_parse_to_chars :string_occurencesof_char :string_take :string_drop :exec_dup () :string_indexof_char :exec_if () (:string_indexof_char :in1 :string_nth :string_contains_char :integer_subtract :string_contains_char :string_occurencesof_char :string_eq false :string_contains "(" :string_concat :integer_eq :integer_quot :string_length :boolean_not :string_eq 0 :in1 :integer_quot :string_rest) :string_occurencesof_char :integer_subtract :string_replace_char "(" :string_take true :in1 :string_butlast :exec_dup (:string_eq :string_drop)), :runtime (0.0032313120000000005 0.0021212759999999996 0.0018803199999999991 0.001843139999999999 0.0018347080000000004 0.0018386440000000002 0.0019040279999999992), :total-error 1, :amalgamated-error 1.014653428}
