{:generation 0, :program (:in1 :string_drop :string_rest :integer_add true :string_remove_char :boolean_not "abcdefghijklmnopqrstuvwxyz" :string_parse_to_chars :string_indexof_char), :runtime (0.002979896000000001 0.002997264 0.0031052200000000005 0.003109004 0.003064412), :total-error 2, :amalgamated-error 2.015255796}
{:generation 11, :program (:string_rest :exec_if (:string_drop :string_length :integer_eq :in2 false :integer_quot false :string_drop :string_contains :string_take :string_replace_char :string_take :string_concat 1 true :string_contains :string_contains :string_eq :boolean_or :string_iterate (:integer_eq :string_remove_char :in1 :string_parse_to_chars :string_butlast :string_nth :string_remove_char :boolean_or :string_eq :string_contains :string_contains_char :in2 :in2 :string_iterate (:string_eq :string_from_char :string_indexof_char :string_take :boolean_eq :string_contains 1 :string_butlast :string_contains :exec_dup (0 :string_rest :integer_add)))) ()), :runtime (0.003150263999999998 0.003189412 0.003044080000000002 0.004672831999999999 0.003107959999999999), :total-error 1, :amalgamated-error 1.017164548}
{:generation 12, :program (:string_from_char :integer_quot :string_length :boolean_eq :in1 :boolean_and :string_eq :integer_mult :integer_add :string_from_char 1 0 :string_from_char :boolean_eq :string_take 2 :string_from_char :exec_dup (:string_take :exec_if (:exec_dup (:integer_add :in2 :string_remove_char :integer_subtract :in2 :boolean_not "abcdefghijklmnopqrstuvwxyz" :string_contains :string_drop :string_parse_to_chars :string_from_char 0 :string_nth :integer_mult :boolean_or :in1 :boolean_eq :string_reverse false "" "" :integer_add 0 1 :string_contains :string_contains :string_iterate (:string_contains :integer_subtract :string_butlast :integer_eq :integer_quot :string_rest :string_butlast :string_drop :boolean_eq :integer_quot 0))) ())), :runtime (0.003043316 0.0030220520000000008 0.0030015440000000023 0.003061632 0.003079656000000002), :total-error 0, :amalgamated-error 0.015208200000000005}
{:generation 13, :program (:string_reverse :string_replace_char :string_drop :string_take :boolean_not :boolean_eq :exec_dup (:in2 :string_nth :exec_if (false :boolean_or :string_replace_char :string_occurencesof_char 2 :integer_add :integer_eq :string_replace_char) (:string_nth false :integer_subtract :string_contains :string_contains :string_concat :string_indexof_char :integer_add 2 :boolean_eq :in2 :string_butlast :string_parse_to_chars :string_drop :string_remove_char 1 :string_drop :string_occurencesof_char :string_reverse :in2 :boolean_eq false :string_concat :string_reverse :string_iterate (:boolean_eq 1 :string_nth "abcdefghijklmnopqrstuvwxyz" false :string_occurencesof_char :string_reverse :string_iterate (:string_contains :string_nth :string_length :integer_quot false :integer_eq :integer_add :in1 :string_from_char 2 :boolean_not 2))))), :runtime (0.0029601040000000016 0.0030832999999999985 0.0030235039999999967 0.0030018240000000015 0.003015763999999999), :total-error 0, :amalgamated-error 0.015084495999999998}
{:generation 14, :program (:exec_if (:string_parse_to_chars :string_concat :string_reverse :string_concat :in2 :string_parse_to_chars :string_contains :string_contains :boolean_and 0 0 :integer_mult :string_from_char "abcdefghijklmnopqrstuvwxyz" :string_rest :string_from_char :string_nth :string_contains :in2 :string_butlast :string_contains :string_take :boolean_eq :string_contains_char :string_replace_char :integer_quot :string_eq :boolean_eq :string_parse_to_chars :boolean_not :string_drop :boolean_or true :string_iterate (:string_nth :string_contains_char :string_parse_to_chars :integer_add :string_rest "" :string_butlast 1 "abcdefghijklmnopqrstuvwxyz" :boolean_eq :string_iterate () :boolean_eq :string_contains :boolean_and :boolean_eq :in1 :string_rest) :string_rest) ()), :runtime (0.0030664640000000005 0.0031227439999999998 0.003110775999999999 0.003032912 0.002993568), :total-error 0, :amalgamated-error 0.015326464}
{:generation 15, :program (:string_rest :exec_if (:in2 :integer_mult :integer_eq :in2 false :in2 :boolean_not) (:string_drop :boolean_or :string_indexof_char :string_indexof_char :string_contains 1 :string_contains "" :in1 :string_contains :string_drop :in1 :string_from_char :string_drop :string_butlast :string_occurencesof_char :in2 :integer_mult) 2 0 :in2 :string_replace_char :string_iterate (:string_from_char :in2 false :boolean_eq :boolean_eq false 2 :exec_if (:string_take :string_contains 0 0 :string_replace_char :boolean_eq :boolean_eq :boolean_not "") ())), :runtime (0.0030176279999999983 0.0030206320000000005 0.002185623999999999 0.0018516519999999999 0.0018293000000000003), :total-error 1, :amalgamated-error 1.011904836}
{:generation 16, :program (:boolean_eq :string_rest :exec_if (:string_replace_char :string_reverse :string_length :string_contains :integer_subtract :string_from_char :boolean_or :string_iterate (:boolean_not :string_take false :integer_eq :integer_eq :exec_dup ("" :boolean_not true :string_contains_char :string_contains :boolean_or :exec_if (:string_eq :string_contains :string_contains 2 :integer_quot :string_replace_char :string_eq :exec_dup (:string_contains :string_indexof_char :boolean_or 1 0 :string_rest "abcdefghijklmnopqrstuvwxyz" :exec_dup (:string_nth :string_occurencesof_char :string_parse_to_chars :boolean_and :string_indexof_char :string_drop :string_replace_char) false :string_length :boolean_not :in2 :string_parse_to_chars :boolean_eq :integer_eq :string_length :string_eq)) ()))) ()), :runtime (0.003043771999999999 0.003013127999999999 0.0030265200000000004 0.0029932240000000027 0.0030117639999999992), :total-error 0, :amalgamated-error 0.015088408000000001}
{:generation 17, :program (:string_occurencesof_char :string_remove_char :string_eq false :exec_if ("" :integer_add 2 :integer_add true :string_indexof_char :string_parse_to_chars) (:string_occurencesof_char :string_from_char :string_reverse :integer_quot :string_indexof_char :in2 :exec_dup (:integer_quot :string_parse_to_chars :boolean_eq :in2 :string_drop :string_contains :string_take :string_replace_char :boolean_eq :string_eq :boolean_eq :string_take :string_nth :integer_add :string_from_char :string_parse_to_chars :integer_add :integer_quot "" :integer_subtract :string_contains :string_contains :string_indexof_char :string_replace_char :string_parse_to_chars :string_eq 1 :string_take :string_parse_to_chars))), :runtime (0.003098628000000002 0.0029602560000000005 0.0030469839999999974 0.003040088000000001 0.0030568599999999994), :total-error 0, :amalgamated-error 0.015202816000000001}
{:generation 18, :program (1 :exec_if (:string_nth :integer_subtract false :in2 :string_parse_to_chars) (0 :string_parse_to_chars :string_indexof_char :string_parse_to_chars :string_concat :string_contains :string_from_char :string_take :string_drop :string_contains 0 :string_indexof_char :string_contains :string_rest :string_iterate (:string_remove_char :in1 :string_drop :string_parse_to_chars :string_replace_char :string_eq 2 :string_contains :string_concat :boolean_or :string_indexof_char 0 :string_contains_char :string_drop :string_iterate (:integer_mult :string_rest :boolean_eq :string_replace_char :string_nth :boolean_and :string_replace_char :boolean_eq 2 :string_take)))), :runtime (0.002941363999999998 0.003001155999999999 0.003049924000000001 0.0030843599999999995 0.003060595999999997), :total-error 0, :amalgamated-error 0.015137399999999995}
{:generation 19, :program (:string_length :string_from_char :string_rest :string_replace_char :string_reverse :string_length :string_from_char :integer_mult "abcdefghijklmnopqrstuvwxyz" :string_butlast :boolean_or :string_iterate (:string_parse_to_chars :string_replace_char :boolean_not :string_take false :exec_dup (true :boolean_or :exec_if (:integer_quot :string_eq :exec_dup (:string_rest :string_contains :string_indexof_char "" :boolean_or :string_rest "abcdefghijklmnopqrstuvwxyz" "abcdefghijklmnopqrstuvwxyz" :exec_dup (:string_nth :string_parse_to_chars :string_iterate (:string_indexof_char :string_drop :string_replace_char) :in2 false :boolean_not :in2 :string_parse_to_chars :boolean_eq :integer_eq :string_length :string_eq))) ()))), :runtime (0.002953779999999999 0.003189184 0.003025548000000003 0.0030716120000000005 0.0030822400000000013), :total-error 1, :amalgamated-error 1.015322364}
{:generation 20, :program (:string_reverse :string_occurencesof_char :in2 :in2 :boolean_and "" :string_parse_to_chars :string_rest :string_parse_to_chars :exec_dup (0 :string_concat :string_reverse :string_reverse :string_parse_to_chars :boolean_eq :string_indexof_char 0 :string_eq 0 :string_nth :string_rest 0 2 :string_contains :string_indexof_char :string_from_char :string_contains :integer_subtract :string_nth :boolean_eq :string_nth :in1 :string_take :string_from_char :string_contains_char :integer_subtract :string_drop "" :string_contains_char :exec_dup (:boolean_not :in2 :string_take :string_occurencesof_char :string_indexof_char :string_iterate (:in2 :integer_mult :string_nth :string_eq :string_indexof_char :string_length :string_drop :integer_subtract)))), :runtime (0.0030690279999999997 0.0030434159999999963 0.002999632000000001 0.001764327999999999 0.0017688479999999993), :total-error 1, :amalgamated-error 1.012645252}
{:generation 21, :program (false :in2 :integer_eq :string_nth :string_iterate (:string_iterate (:exec_dup (:string_take :string_iterate (:string_contains :string_rest :integer_mult :boolean_eq :string_nth :string_nth :string_contains_char :string_reverse :in2 :integer_quot :boolean_and :string_parse_to_chars :string_contains :string_eq :integer_quot "" :boolean_eq :string_length :boolean_and :boolean_eq :string_from_char :string_indexof_char :string_take :in1 :string_iterate (:string_indexof_char :integer_mult 2 :string_drop :string_concat 1 :in1 :boolean_and)))))), :runtime (0.0030864960000000006 0.003125008 0.0030482559999999996 0.003087055999999999 0.0030581960000000013), :total-error 0, :amalgamated-error 0.015405012000000001}
{:generation 22, :program (false 0 :string_contains false :string_iterate (:string_iterate (:integer_quot :integer_eq :integer_quot) :string_occurencesof_char false :string_from_char :string_remove_char 0 :integer_add false "" :boolean_eq 0 :integer_quot :exec_if (1 "abcdefghijklmnopqrstuvwxyz" :integer_mult :string_indexof_char :string_nth :string_remove_char :string_drop :string_parse_to_chars :string_drop :boolean_or :boolean_eq :string_contains_char :string_parse_to_chars :boolean_or :string_from_char :exec_dup ("" :string_replace_char "abcdefghijklmnopqrstuvwxyz" :string_from_char :string_from_char :in2 :boolean_and :string_parse_to_chars "abcdefghijklmnopqrstuvwxyz" :integer_quot false :in1 :string_remove_char :string_remove_char :string_take :string_length :integer_quot :in1 :integer_add :in1 :string_nth :string_reverse :string_contains)) ())), :runtime (0.002968296000000001 0.0030444359999999998 0.0030237280000000024 0.0030266440000000006 0.003059648000000001), :total-error 1, :amalgamated-error 1.015122752}
{:generation 23, :program (:exec_if (true :in2 :string_eq :string_remove_char :string_parse_to_chars :integer_add :string_concat "" :boolean_eq :string_rest :string_reverse :string_remove_char :string_indexof_char :string_butlast 2 :in2 :integer_add :in2 :in1 0 false :string_concat :in2 :string_replace_char :boolean_or :integer_quot :integer_eq 0 :in2 :integer_add :boolean_and :string_contains :string_iterate (:string_remove_char :string_butlast :string_remove_char :string_remove_char :string_iterate (:string_remove_char :string_indexof_char 0 :boolean_and :string_take :string_take :integer_eq :string_remove_char :string_contains_char))) ()), :runtime (0.0030965280000000003 0.003047992000000002 0.0030996280000000005 0.0030779199999999996 0.0029989520000000005), :total-error 1, :amalgamated-error 1.01532102}
{:generation 24, :program (:string_eq :string_nth :integer_eq :in2 :string_contains_char :string_take :string_parse_to_chars 1 :string_iterate (:string_concat :exec_if (1 :string_contains :string_from_char :string_remove_char :string_rest :string_indexof_char :string_take :string_drop :integer_mult :integer_add :integer_mult :string_parse_to_chars :string_nth "" :string_contains :string_replace_char :string_parse_to_chars :boolean_or true :string_butlast 1 :string_contains :string_indexof_char :string_iterate (:in1 "" :integer_subtract false :string_rest :string_reverse :string_replace_char :string_parse_to_chars :string_iterate (:integer_subtract false :integer_eq false))) ())), :runtime (0.0030645119999999997 0.0030320080000000014 0.0031280839999999997 0.0030750240000000004 0.003109424000000001), :total-error 1, :amalgamated-error 1.015409052}
{:generation 25, :program (1 :in2 :integer_eq :in1 :exec_if (:string_parse_to_chars :string_parse_to_chars :exec_dup (:string_nth :string_contains "" :in1 :string_contains :boolean_and :string_take :in1 :string_from_char :string_remove_char :string_butlast :string_replace_char :string_iterate (:string_contains :integer_subtract :integer_mult :string_butlast :string_concat 2 :string_replace_char :string_contains :integer_quot :boolean_or :string_parse_to_chars :integer_quot :string_take :string_nth :string_eq :integer_eq :string_reverse :string_contains :string_drop :integer_eq :integer_subtract :integer_subtract :string_contains :integer_subtract))) ()), :runtime (0.0030611480000000005 0.0030516959999999983 0.003007404000000003 0.0030791439999999994 0.003043567999999999), :total-error 1, :amalgamated-error 1.01524296}
{:generation 26, :program (:string_from_char "abcdefghijklmnopqrstuvwxyz" :string_from_char :integer_eq :in2 :string_take 0 :string_rest :string_contains_char :string_remove_char :string_eq :integer_mult :string_parse_to_chars :integer_add 0 :string_drop :string_contains_char :string_parse_to_chars "abcdefghijklmnopqrstuvwxyz" :string_from_char :exec_dup (:integer_quot :string_nth :string_reverse :string_contains_char :integer_add :boolean_or 1 :in2 true :boolean_not :string_parse_to_chars "" :boolean_or :string_take :integer_add :integer_quot :string_occurencesof_char :exec_dup (:integer_add :boolean_and :string_indexof_char :string_iterate (true :string_remove_char :string_reverse :string_contains :string_drop :string_reverse :string_parse_to_chars :string_length)))), :runtime (0.0030584400000000012 0.002992735999999999 0.0029462000000000012 0.003115344000000001 0.003063035999999999), :total-error 0, :amalgamated-error 0.015175756000000002}
{:generation 27, :program (false 0 :string_eq "" :string_from_char :exec_if (:integer_quot :integer_quot :string_parse_to_chars :integer_quot) (false false false :in2 0 :string_indexof_char "" :boolean_eq :integer_quot :exec_if (:string_remove_char "abcdefghijklmnopqrstuvwxyz" :string_rest :string_rest :string_indexof_char :string_take :string_occurencesof_char false :string_nth "" :string_contains_char :exec_dup (false :boolean_eq :integer_mult :string_contains_char "" :boolean_or :string_rest :string_parse_to_chars :string_contains_char :integer_quot :integer_subtract :string_replace_char "abcdefghijklmnopqrstuvwxyz" :string_contains_char :in2 :in2 false :string_parse_to_chars "abcdefghijklmnopqrstuvwxyz" :integer_add false :string_remove_char :string_nth 1 :string_take :string_length :in1 :string_contains_char :string_occurencesof_char :string_nth :string_reverse :string_contains)) ())), :runtime (0.0030031360000000004 0.003039756 0.0030205840000000037 0.003040912000000002 0.03909142799999997), :total-error 1, :amalgamated-error 1.051195816}
{:generation 28, :program (:boolean_eq :string_replace_char :string_iterate (:string_contains :boolean_or :in2 :boolean_and :string_parse_to_chars :string_take :integer_quot :string_length :boolean_not true :string_eq :string_rest :string_eq :string_contains_char :string_rest :string_eq :string_take :boolean_or :exec_dup (:string_take :string_contains :string_nth 2 2 :string_occurencesof_char :string_from_char :integer_quot :string_reverse :boolean_eq :string_parse_to_chars :string_occurencesof_char :boolean_or :string_take :string_remove_char "abcdefghijklmnopqrstuvwxyz" :integer_add :string_from_char :exec_dup (:integer_add :string_remove_char :string_reverse :string_contains :string_drop :string_reverse :boolean_and :in2 :string_concat :string_parse_to_chars :string_length :string_remove_char :string_eq)))), :runtime (0.0030140959999999987 0.0030887799999999997 0.003066520000000002 0.0030633360000000024 0.003062344000000001), :total-error 1, :amalgamated-error 1.015295076}
{:generation 29, :program (:boolean_eq :string_replace_char :in2 :string_contains :boolean_or :string_parse_to_chars :string_parse_to_chars :integer_mult :string_from_char :string_iterate ("abcdefghijklmnopqrstuvwxyz" :integer_quot :string_contains_char :string_rest :string_indexof_char :integer_eq :string_take :string_drop :exec_dup (:string_contains :string_reverse :string_parse_to_chars :string_occurencesof_char :string_replace_char :string_reverse :boolean_eq :string_nth :string_occurencesof_char :boolean_or :string_take :string_drop "abcdefghijklmnopqrstuvwxyz" :string_parse_to_chars :string_nth 1 :string_contains :string_take :string_remove_char :string_reverse :in2 :string_drop :integer_quot :string_reverse :boolean_and :in2 :string_concat :string_parse_to_chars :string_contains 0 :string_eq :string_eq))), :runtime (0.0030741360000000025 0.0030905679999999997 0.0030901640000000016 0.0030447959999999985 0.003056868), :total-error 0, :amalgamated-error 0.015356532000000003}
{:generation 30, :program ("abcdefghijklmnopqrstuvwxyz" :string_drop :string_butlast :string_eq :string_butlast :string_contains :string_parse_to_chars :string_parse_to_chars :string_remove_char :string_contains :string_contains_char :exec_dup (:string_take :string_butlast :integer_subtract 0 :integer_mult :string_from_char :integer_add :string_parse_to_chars :string_take :boolean_not :string_contains_char :exec_dup (:exec_dup (:integer_eq 2 :integer_add :string_occurencesof_char 0 :exec_dup (:string_iterate (:string_concat :string_replace_char :string_take :string_eq :string_parse_to_chars :integer_quot :integer_subtract :string_eq :string_contains :in2 1 :string_parse_to_chars :string_reverse 1 :integer_mult :exec_if () ())))))), :runtime (0.0028915599999999974 0.0029843319999999997 0.0030701679999999986 0.0029501360000000003 0.0030466239999999995), :total-error 1, :amalgamated-error 1.01494282}
{:generation 31, :program (:boolean_eq :boolean_eq :string_replace_char :boolean_or :string_parse_to_chars :integer_mult :boolean_or :boolean_not 2 :string_nth "abcdefghijklmnopqrstuvwxyz" "" :string_contains_char :string_rest :string_indexof_char :string_butlast :string_take :string_drop :integer_quot :string_contains_char :string_reverse :string_drop 2 :string_take :boolean_eq :string_nth :string_concat :boolean_or :string_take "abcdefghijklmnopqrstuvwxyz" :string_nth :exec_dup (:string_occurencesof_char :string_remove_char :boolean_or :in2 :string_reverse :string_occurencesof_char :in2 :string_concat :string_parse_to_chars :string_nth 0 :string_contains :string_nth :boolean_eq :string_eq)), :runtime (0.003016788000000002 0.0030446039999999976 0.002955543999999999 0.002971840000000003 0.003074583999999999), :total-error 0, :amalgamated-error 0.015063360000000001}
{:generation 32, :program (:boolean_eq :string_contains :boolean_or :string_parse_to_chars :string_parse_to_chars :boolean_or :boolean_not :string_concat :string_nth :string_parse_to_chars :integer_quot "" 2 :string_reverse :string_length :string_contains :string_contains_char :string_iterate (:integer_quot :boolean_and :string_contains_char :exec_dup (:string_from_char :string_remove_char :string_indexof_char :string_take :integer_add true :string_iterate (:string_reverse :string_nth :boolean_eq :string_reverse :boolean_or :string_take :string_nth "abcdefghijklmnopqrstuvwxyz" :string_reverse :string_occurencesof_char :string_length :string_contains_char :boolean_or :string_nth :boolean_not :integer_mult :in2 2 :string_replace_char :boolean_eq :string_parse_to_chars :string_parse_to_chars :string_eq :in2 :string_iterate (:string_eq))))), :runtime (0.0030138 0.003024628 0.0030204280000000008 0.003022852 0.0030314240000000004), :total-error 0, :amalgamated-error 0.015113132000000001}
{:generation 33, :program (:boolean_eq :integer_add :boolean_and :in2 :string_contains :integer_quot :boolean_not :string_contains true :string_parse_to_chars :string_parse_to_chars :boolean_not :string_iterate (0 :string_contains_char :string_eq :string_drop :string_from_char :string_parse_to_chars :string_eq :string_parse_to_chars false :string_contains :string_occurencesof_char :string_butlast :string_occurencesof_char :string_contains_char true :string_nth :string_length 2 :string_rest :boolean_eq :string_take :integer_mult :string_from_char 1 :string_take :integer_add 1 :string_remove_char false :string_contains :string_reverse :integer_add :boolean_eq :in2 1 :in2 :boolean_or :string_parse_to_chars :string_iterate (true :boolean_eq 0 :string_eq))), :runtime (0.0030791399999999993 0.0029751119999999994 0.003051312 0.003064948000000001 0.003153584000000001), :total-error 1, :amalgamated-error 1.015324096}
