{:generation 0, :program (:string_indexof_char :string_contains_char :string_concat :integer_add :string_replace_char true :boolean_or :string_concat :string_contains :integer_quot true :exec_dup (:exec_dup (true :integer_mult :string_butlast :string_replace_char :boolean_not :string_take :in1 :string_iterate (:string_parse_to_chars)))), :runtime (0.0024950960000000005 0.0018786719999999988 0.0018031039999999992 0.001785647999999999 0.001802344), :total-error 2, :amalgamated-error 2.009764864}
{:generation 11, :program (false 2 :boolean_or :string_butlast :integer_eq :string_contains :in1 2 "abcdefghijklmnopqrstuvwxyz" true :exec_dup (true) :string_reverse :string_eq :in1 :string_reverse :boolean_eq :string_occurencesof_char :integer_subtract :string_occurencesof_char :boolean_and :string_length :string_contains :string_rest :string_reverse :exec_dup (:string_parse_to_chars :string_length :integer_eq :integer_quot :string_replace_char :string_reverse :in2 :string_concat 2 :in2 :boolean_and :string_from_char :exec_dup (:string_from_char :string_iterate (:string_contains_char :string_occurencesof_char :string_replace_char 0 :string_butlast :string_concat)))), :runtime (0.0031516800000000026 0.048623671999999965 0.0031476720000000002 0.003087564 0.003010391999999999), :total-error 0, :amalgamated-error 0.06102097999999997}
{:generation 12, :program (false 2 :boolean_or :string_butlast :integer_eq :string_contains :in1 2 "abcdefghijklmnopqrstuvwxyz" true :exec_dup (true) :string_reverse :string_eq :in1 :string_reverse :boolean_eq :string_occurencesof_char :integer_subtract :string_occurencesof_char :boolean_and :string_length :string_contains :string_rest :string_reverse :exec_dup (:string_parse_to_chars :string_length :integer_eq :integer_quot :string_replace_char :string_reverse :in2 :string_concat 2 :in2 :boolean_and :string_from_char :exec_dup (:string_from_char :string_iterate (:string_contains_char :string_occurencesof_char :string_replace_char 0 :string_butlast :string_concat)))), :runtime (0.002985384000000003 0.00295868 0.0029954520000000017 0.003033540000000001 0.0029933239999999995), :total-error 0, :amalgamated-error 0.014966380000000005}
{:generation 13, :program (:string_rest :string_parse_to_chars 2 :integer_eq :string_from_char :string_iterate (:integer_mult false :integer_eq :string_drop :string_replace_char :string_concat false :boolean_and :integer_add :string_concat :boolean_eq :integer_mult :exec_dup (:string_butlast :boolean_not :string_eq :string_contains_char :boolean_and :exec_dup (:string_iterate (:in2 :integer_quot :string_eq :string_indexof_char :string_parse_to_chars :string_length :string_eq 2 :string_iterate (:in1 :boolean_and 2 "abcdefghijklmnopqrstuvwxyz" :string_butlast :boolean_eq :in1 :string_eq 0 :string_replace_char :string_take :string_rest :boolean_or :string_occurencesof_char :string_rest :integer_eq :integer_add :string_eq :string_take :in2 :string_length :integer_subtract :exec_dup (true :in1 :string_length))))))), :runtime (0.003097540000000001 0.003023311999999999 0.003012520000000001 0.003028527999999998 0.00314816), :total-error 0, :amalgamated-error 0.01531006}
{:generation 14, :program (:boolean_and :string_from_char 2 :integer_mult :integer_subtract :string_reverse :in1 2 :string_concat 0 true :exec_dup (false) :string_contains :string_reverse :boolean_and :boolean_eq 1 :string_occurencesof_char :boolean_and :string_parse_to_chars :string_nth :string_length :string_reverse :string_rest true 0 :integer_add :string_parse_to_chars :integer_eq false :exec_dup (:string_nth :in2 :string_concat :integer_eq :string_parse_to_chars :in2 :string_contains :string_iterate (:string_contains_char :string_occurencesof_char :string_butlast))), :runtime (0.003059884000000002 0.0029798599999999995 0.002666819999999999 0.002200064000000001 0.001842336000000001), :total-error 1, :amalgamated-error 1.012748964}
{:generation 15, :program (:integer_add :in2 :in1 1 :integer_eq :string_parse_to_chars :integer_quot :integer_quot 0 1 1 true :string_occurencesof_char 2 :string_from_char :string_replace_char false :string_butlast :string_rest :string_contains_char :integer_subtract :string_reverse :string_reverse false :boolean_or :in2 :string_occurencesof_char :string_contains :string_occurencesof_char :string_take :boolean_or :string_drop :string_replace_char :integer_quot :string_contains :string_replace_char :boolean_and :string_parse_to_chars :boolean_eq false :boolean_and :string_iterate (:string_eq :string_length "abcdefghijklmnopqrstuvwxyz" :string_contains :integer_eq :string_occurencesof_char)), :runtime (0.0018941359999999992 0.002127755999999998 0.0017838639999999994 0.0029853480000000022 0.002967444), :total-error 1, :amalgamated-error 1.011758548}
{:generation 16, :program (:string_contains :string_replace_char :string_drop :boolean_or :in2 :string_parse_to_chars :integer_mult :string_length :boolean_or :string_contains_char :boolean_and :string_contains :string_contains :in2 :boolean_and :string_iterate (:boolean_or :boolean_and :string_indexof_char :string_parse_to_chars "" :integer_subtract :exec_dup (:string_parse_to_chars :string_reverse :boolean_eq :string_occurencesof_char :in2 :string_concat :string_drop :string_parse_to_chars false :integer_quot :string_concat :string_contains :string_drop :integer_eq :string_from_char :string_reverse))), :runtime (0.003045000000000001 0.0018464079999999993 0.0017913759999999995 0.0017901 0.0017831079999999985), :total-error 1, :amalgamated-error 1.010255992}
{:generation 17, :program (:string_length :in2 :in1 :in2 0 0 :integer_eq 2 :string_replace_char :integer_quot :in2 :string_parse_to_chars :integer_mult :boolean_eq :integer_eq :string_iterate (:string_nth :string_reverse :string_parse_to_chars :string_take :integer_subtract :exec_dup (:string_drop :string_reverse :string_remove_char :boolean_not :string_occurencesof_char :string_concat :string_parse_to_chars :exec_if (false :string_occurencesof_char :string_contains :string_drop :string_from_char :string_eq :string_eq :integer_mult) ()))), :runtime (0.003035807999999998 0.003253820000000002 0.0031650079999999995 0.0030374080000000006 0.0031218999999999986), :total-error 0, :amalgamated-error 0.015613943999999998}
{:generation 18, :program (:boolean_and :string_from_char :integer_mult :integer_subtract :string_reverse :in1 :in2 2 "" :string_concat 0 :string_concat :string_contains :string_butlast true :exec_dup (:string_concat) :string_contains :string_reverse :boolean_and :boolean_eq 1 :string_occurencesof_char :boolean_and :string_parse_to_chars :string_nth :string_concat :integer_subtract :string_length :string_reverse :string_rest true 0 :string_parse_to_chars :integer_eq :string_rest :string_reverse :boolean_or :in2 :string_concat :boolean_eq :integer_eq :string_parse_to_chars :in2 :string_contains :string_iterate (:string_contains_char :string_butlast :string_replace_char)), :runtime (0.002032911999999999 0.0019051359999999995 0.0017962479999999996 0.0018138759999999986 0.0018605240000000001), :total-error 1, :amalgamated-error 1.009408696}
{:generation 19, :program (:string_parse_to_chars :boolean_or :string_contains :string_reverse :in2 true :string_remove_char :integer_add 0 :string_contains :string_parse_to_chars :integer_add :integer_eq :string_rest :string_replace_char :string_eq :string_concat :in2 true :boolean_not :string_iterate (:string_eq false :string_parse_to_chars :string_rest :string_take "" :string_from_char :string_nth :string_contains_char :string_parse_to_chars :string_occurencesof_char :string_contains :string_indexof_char :string_occurencesof_char :boolean_eq :string_iterate () :integer_mult :integer_add :boolean_and :string_reverse :string_occurencesof_char :string_indexof_char :string_remove_char :string_contains :string_remove_char :in2 :exec_dup (:integer_eq :in1 :string_drop))), :runtime (0.0031815759999999998 0.0031729920000000016 0.0018502759999999988 0.0018265000000000004 0.0017760440000000005), :total-error 1, :amalgamated-error 1.011807388}
{:generation 20, :program (:string_nth :integer_mult :string_nth 1 :string_nth :string_iterate (:in2) :in1 0 :string_eq true :in1 0 :string_length :string_parse_to_chars :string_take :string_reverse 0 :string_contains :string_reverse :boolean_and "" :boolean_or :in2 :in1 :string_parse_to_chars :integer_mult :integer_quot :integer_eq :integer_subtract "abcdefghijklmnopqrstuvwxyz" :integer_subtract 1 "abcdefghijklmnopqrstuvwxyz" :string_drop :integer_quot :in2 :string_occurencesof_char :string_nth "abcdefghijklmnopqrstuvwxyz" :string_contains :integer_eq false :string_butlast :boolean_eq :string_contains :string_contains :string_replace_char :string_rest), :runtime (0.0030429840000000016 0.0017875999999999992 0.0018325239999999992 0.0017848159999999996 0.001844564), :total-error 1, :amalgamated-error 1.010292488}
{:generation 21, :program (:boolean_and :in2 :integer_mult :string_concat :integer_subtract "" :string_nth :string_concat 0 :integer_eq "abcdefghijklmnopqrstuvwxyz" :string_concat true :exec_dup (:string_occurencesof_char :string_reverse :boolean_and :string_nth :string_parse_to_chars 1 :boolean_and :exec_dup (:string_nth :integer_subtract :boolean_eq :string_length :string_indexof_char :string_contains_char :in2 false :boolean_eq :string_rest 0 :string_rest :boolean_or :boolean_or :in2 :string_from_char false :string_parse_to_chars :in1 :in2 :string_contains 1 :string_from_char :string_reverse :string_contains))), :runtime (0.003132720000000002 0.0031606279999999982 0.002992240000000002 0.0031616720000000012 0.026985208000000017), :total-error 0, :amalgamated-error 0.03943246800000002}
{:generation 22, :program (:boolean_and :boolean_or 0 :integer_mult :string_occurencesof_char "abcdefghijklmnopqrstuvwxyz" :string_reverse 2 :in2 0 :string_length 0 true :exec_dup (:in1 :string_indexof_char) :integer_add :integer_subtract :string_replace_char :integer_eq 1 :string_occurencesof_char :string_contains :integer_mult :string_reverse :string_length :integer_eq :integer_subtract 0 true 0 :string_concat :integer_eq "abcdefghijklmnopqrstuvwxyz" :boolean_or :string_concat false :string_parse_to_chars :string_occurencesof_char :string_contains :string_iterate (:string_occurencesof_char :in2 :string_contains :string_replace_char :string_contains_char :string_reverse :integer_subtract :string_replace_char 0)), :runtime (0.00182626 0.0018387719999999996 0.0017789120000000005 0.0018268599999999992 0.0018085880000000012), :total-error 1, :amalgamated-error 1.009079392}
{:generation 23, :program (:string_contains_char :boolean_or "" "" :boolean_or :string_parse_to_chars :integer_mult :integer_subtract :string_butlast :string_rest :integer_quot :string_length :string_occurencesof_char :exec_dup (2 :string_take false :string_drop 1 2 :string_remove_char :integer_subtract false :string_concat :string_parse_to_chars :string_indexof_char :string_replace_char 0 :in2 :in1 :string_concat :string_parse_to_chars :in2 :string_parse_to_chars :string_take) false :string_from_char :string_reverse :integer_add :string_indexof_char 1 :boolean_or :string_length :string_contains 2), :runtime (0.003094744000000001 0.003179351999999998 0.0018588280000000007 0.0018310640000000014 0.002031507999999999), :total-error 1, :amalgamated-error 1.011995496}
{:generation 24, :program (:boolean_and :string_concat "" :string_concat 1 :integer_eq :boolean_or :string_concat true :exec_dup (:string_occurencesof_char :string_reverse :boolean_and :string_nth :string_parse_to_chars :boolean_and :exec_dup (:integer_add :integer_subtract :boolean_eq :string_indexof_char :string_contains_char :boolean_and :in2 false :boolean_eq :string_drop :string_rest :string_rest :boolean_or :in2 :string_from_char false :string_parse_to_chars :integer_add :in1 :in2 :string_contains 1 :string_from_char :string_reverse :string_contains))), :runtime (0.0028965920000000012 0.0018465639999999987 0.0017736800000000006 0.0017722719999999996 0.0017834959999999992), :total-error 1, :amalgamated-error 1.010072604}
{:generation 25, :program (:boolean_and :integer_mult :string_from_char :boolean_or :string_nth :integer_quot :string_remove_char :string_remove_char :string_parse_to_chars :integer_quot :string_nth :integer_subtract :string_contains_char :string_eq :string_take :in1 :boolean_and :exec_dup (0 :string_take :string_take :integer_quot :boolean_and :in2 :integer_quot :string_indexof_char true :string_from_char :integer_quot :in2 :string_parse_to_chars :boolean_and :string_rest :string_contains :integer_add :string_parse_to_chars) :string_concat :integer_subtract :string_length :string_reverse :in2 :boolean_not :boolean_or :string_contains :string_eq :boolean_or :string_concat :string_parse_to_chars :in2 :string_contains :string_iterate (:string_contains_char "abcdefghijklmnopqrstuvwxyz")), :runtime (0.0030573919999999995 0.0029884280000000004 0.003041812000000002 0.003023536000000002 0.003046232000000003), :total-error 0, :amalgamated-error 0.015157400000000007}
{:generation 26, :program (:boolean_and :integer_subtract :integer_subtract 2 :integer_eq :string_concat 2 :string_concat :string_contains :string_replace_char :string_indexof_char :string_butlast :exec_dup (:string_replace_char :exec_dup ("abcdefghijklmnopqrstuvwxyz" :string_reverse :string_contains :string_rest :string_occurencesof_char :boolean_eq :string_occurencesof_char 1 :string_nth :integer_subtract :string_nth :integer_subtract :string_contains_char :string_drop false :string_reverse 0 :string_contains_char false :string_indexof_char :in2 false) :string_parse_to_chars :in2 :string_iterate (:string_iterate (:string_from_char :string_reverse 1 :string_contains_char :string_contains)))), :runtime (0.0030108400000000007 0.002922748000000002 0.0030125040000000035 0.002933008 0.0030045959999999996), :total-error 0, :amalgamated-error 0.014883696000000007}
{:generation 27, :program (:integer_mult :string_reverse :string_indexof_char :in2 :in2 "" "" :integer_eq :string_rest :string_butlast :string_occurencesof_char :in2 :string_eq :in2 :integer_subtract :boolean_not :integer_subtract :integer_subtract :string_parse_to_chars :string_nth :string_take :string_butlast :string_length :integer_add :in1 :string_replace_char :string_eq :integer_eq :string_eq :string_parse_to_chars :integer_subtract :string_reverse :string_concat 1 :integer_eq :string_contains :string_replace_char :string_parse_to_chars :string_concat :integer_subtract :integer_eq :string_replace_char), :runtime (0.0029969439999999983 0.0031165080000000005 0.001781008 0.0018275960000000006 0.0018280360000000008), :total-error 0, :amalgamated-error 0.011550092000000001}
{:generation 28, :program (:string_nth :string_iterate (:boolean_or :string_rest :string_contains) :integer_mult :string_concat 2 :string_from_char :string_replace_char true "abcdefghijklmnopqrstuvwxyz" :exec_dup (:boolean_not :integer_subtract :string_drop :in1 :integer_add :string_length "abcdefghijklmnopqrstuvwxyz" :string_indexof_char) :in1 :integer_subtract :string_length :string_reverse :string_take 2 :string_rest "abcdefghijklmnopqrstuvwxyz" "abcdefghijklmnopqrstuvwxyz" :string_from_char :in2 :in2 :boolean_not :string_contains :string_drop :string_reverse :integer_subtract :string_concat 2 :string_take :string_iterate (:integer_subtract :integer_subtract :exec_dup (:string_concat :in2 :boolean_not :exec_dup (:string_parse_to_chars 0 :integer_add :string_nth 2 :string_contains)))), :runtime (0.0018973759999999988 0.0017763879999999998 0.001771944000000001 0.0017804800000000005 0.0018239599999999997), :total-error 0, :amalgamated-error 0.009050148}
{:generation 29, :program (:string_drop :string_drop :integer_mult :in1 :string_nth :boolean_or :string_concat :integer_quot :in2 :boolean_and :string_indexof_char :boolean_not "" :string_concat :boolean_not :integer_eq :boolean_and :string_replace_char :string_butlast :in2 1 :in2 :string_take :integer_mult 2 :boolean_and :string_occurencesof_char :in2 :string_parse_to_chars :string_from_char :string_parse_to_chars :in2 :boolean_eq :exec_dup (:string_contains :boolean_eq :string_take :string_eq 0 :string_indexof_char :string_iterate (:string_occurencesof_char :string_replace_char :exec_dup (1)))), :runtime (0.003069348000000002 0.0030768080000000025 0.003090839999999999 0.002518544000000001 0.0017635520000000003), :total-error 0, :amalgamated-error 0.013519092000000005}
{:generation 30, :program (:boolean_and :integer_quot :integer_subtract 2 :integer_eq :string_concat 2 :string_length :string_rest :string_replace_char :string_indexof_char :string_butlast :exec_dup (:exec_if (:string_replace_char :exec_dup ("abcdefghijklmnopqrstuvwxyz" 2 :string_contains :boolean_eq 1 :string_concat :string_nth :integer_subtract :string_contains_char :string_drop false :string_reverse 0 false :integer_eq :in2 false) :string_replace_char :string_contains :string_parse_to_chars :in2 :string_iterate (:string_iterate (:string_from_char :string_reverse :string_contains_char 1 :string_contains))) ())), :runtime (0.002979172000000001 0.00305128 0.0031107080000000002 0.003058155999999997 0.0031133959999999983), :total-error 0, :amalgamated-error 0.015312711999999996}
{:generation 31, :program (:string_nth :in1 :boolean_and :string_remove_char :string_from_char :string_drop :string_drop :string_drop :string_contains_char :string_concat :integer_quot :integer_add :integer_subtract "abcdefghijklmnopqrstuvwxyz" :boolean_eq :string_occurencesof_char :string_parse_to_chars false "abcdefghijklmnopqrstuvwxyz" :string_rest :string_nth :string_contains_char :integer_eq :string_contains_char :string_rest :string_nth :string_from_char :integer_eq :integer_eq :string_contains_char :exec_dup (:in2 :in2 :string_from_char :string_parse_to_chars :string_parse_to_chars :in2 :string_contains :string_replace_char :string_reverse :boolean_and :string_eq :in2)), :runtime (0.0031242119999999986 0.0018463919999999994 0.0018347599999999993 0.0017730359999999987 0.001785135999999999), :total-error 1, :amalgamated-error 1.010363536}
{:generation 32, :program (:string_nth :boolean_not :boolean_not :in1 "abcdefghijklmnopqrstuvwxyz" :integer_quot :string_eq :boolean_or "" :integer_eq "abcdefghijklmnopqrstuvwxyz" :string_iterate (:string_take :in2 :string_parse_to_chars) false 1 :in1 :string_replace_char :exec_dup (:boolean_eq :integer_eq :integer_eq :integer_eq :boolean_and :integer_quot :string_rest :string_parse_to_chars :string_contains :integer_quot 0 :in2 :string_parse_to_chars :integer_add :integer_quot :string_from_char :string_reverse :string_parse_to_chars :boolean_not false :integer_eq false :string_contains :string_from_char :string_indexof_char :string_eq :string_replace_char false)), :runtime (0.0029872920000000016 0.003036684 0.003128452000000002 0.0030794519999999977 0.001849275999999999), :total-error 1, :amalgamated-error 1.014081156}
{:generation 33, :program (:string_parse_to_chars :boolean_not :string_nth :string_drop :string_iterate (:in2 "" :string_eq :integer_quot :string_replace_char :in2 :integer_subtract :string_length false :boolean_and :string_contains :exec_dup (:integer_eq 0 :in2 :string_remove_char 2 :in1 :integer_quot :string_indexof_char :string_indexof_char :string_parse_to_chars :string_concat "" 1 :string_nth :integer_add)) :string_indexof_char :in1 0 :string_occurencesof_char :string_occurencesof_char 1 :string_contains :string_contains true :string_replace_char :string_contains), :runtime (0.001805380000000001 0.0017757639999999993 0.0018289799999999998 0.0018293879999999993 0.0018347960000000005), :total-error 0, :amalgamated-error 0.009074308}
{:generation 34, :program (:string_parse_to_chars :boolean_not :string_nth :string_drop :string_iterate (:string_iterate (:in2 "" :string_eq :integer_quot :string_replace_char :boolean_and :in2 :integer_subtract :string_length false :string_contains :exec_dup (:integer_eq 0 :in2 :string_remove_char 2 :in1 :integer_quot :string_indexof_char :string_indexof_char :string_parse_to_chars :string_concat "" 1 :string_nth :integer_add)) :string_indexof_char :in1 :string_occurencesof_char :string_occurencesof_char 1 :string_contains :string_contains true :string_replace_char) 0 :string_contains), :runtime (0.0030955680000000004 0.003096604000000003 0.0031258240000000014 0.0031628880000000004 0.003076244), :total-error 0, :amalgamated-error 0.015557128000000005}
{:generation 35, :program (:string_nth :string_replace_char :string_take :in1 :string_butlast :exec_dup (false :string_occurencesof_char :integer_quot :string_remove_char :in2 :in1 :string_reverse :integer_subtract :string_iterate (:string_length :string_eq :string_contains :in1 :string_indexof_char :string_eq :integer_subtract :string_indexof_char :string_drop false :string_parse_to_chars :string_reverse :string_concat :string_drop "" :in2 :in2 2 :string_parse_to_chars :exec_dup (:exec_if (2 :string_replace_char :boolean_and :string_contains :string_reverse :exec_dup (true) true :boolean_not :string_parse_to_chars) ())))), :runtime (0.003043124 0.008675636000000004 0.003026724 0.0029433399999999987 0.08821641200000002), :total-error 0, :amalgamated-error 0.10590523600000003}
{:generation 36, :program (:string_occurencesof_char :string_reverse :string_rest :string_nth :integer_eq :integer_eq :integer_mult :boolean_or :integer_quot :string_butlast :string_remove_char :string_contains_char :exec_dup (:string_butlast :in2 :string_nth :exec_dup (:string_eq :boolean_eq :in2 false "" :string_drop :string_rest :in1 :string_parse_to_chars :string_length :string_parse_to_chars :in2 :string_length false false :string_drop :string_contains :string_indexof_char :string_eq :string_remove_char :string_iterate (:in2 :string_occurencesof_char :string_from_char :string_occurencesof_char "abcdefghijklmnopqrstuvwxyz" :string_eq :string_eq :string_contains :string_from_char)))), :runtime (0.003005076000000003 0.003099600000000002 0.003114856000000002 0.0029534040000000032 0.00303044), :total-error 0, :amalgamated-error 0.015203376000000011}
