{:generation 0, :program (:string_drop :integer_add :string_rest :string_butlast :string_contains :string_take :string_remove_char :string_concat :string_drop "abcdefghijklmnopqrstuvwxyz" 2 :string_parse_to_chars :boolean_eq :string_indexof_char :integer_add :string_drop :string_contains :in2 :string_take :string_contains :boolean_or :string_occurencesof_char :integer_subtract :string_eq :integer_add 1 :integer_add :string_iterate (:string_drop :in2 :string_contains :boolean_not :string_take :exec_dup ("abcdefghijklmnopqrstuvwxyz" :in2 :string_butlast :integer_subtract :integer_add :in2 "abcdefghijklmnopqrstuvwxyz" :integer_mult :string_iterate (:string_reverse :string_butlast :string_iterate (:string_nth :string_rest :string_rest 0) :string_from_char :string_rest :string_length :integer_quot :string_from_char :string_contains :string_parse_to_chars true :string_parse_to_chars :string_drop :string_contains_char :integer_subtract :boolean_not "abcdefghijklmnopqrstuvwxyz" "abcdefghijklmnopqrstuvwxyz" :string_iterate (:boolean_not "abcdefghijklmnopqrstuvwxyz" true :boolean_and :boolean_not :integer_mult false :string_remove_char "abcdefghijklmnopqrstuvwxyz" :exec_dup (:boolean_not :exec_if (:string_iterate (:in2 :in1 :string_concat true :string_eq :string_contains :boolean_not :exec_if (:string_rest :integer_subtract :string_parse_to_chars "abcdefghijklmnopqrstuvwxyz" :exec_if (:integer_subtract :string_nth :exec_if (:string_contains :string_occurencesof_char) ()) ()) ())) ())))))), :runtime (0.00308996 0.0032106919999999976 0.003136652 0.003227491999999999 0.0031940680000000004 0.003156468000000001 0.0031591880000000016), :total-error 2, :amalgamated-error 2.02217452}
{:generation 11, :program (:integer_mult :integer_quot :string_drop :string_reverse :string_rest :string_contains_char :string_parse_to_chars :string_length :string_parse_to_chars :boolean_and :string_reverse :boolean_or :string_length :in2 :string_remove_char :integer_mult :string_contains_char :integer_quot :exec_dup (:string_parse_to_chars) 2 :string_concat :string_rest true 1 :string_nth :string_take :in2 :in2 :string_occurencesof_char :boolean_not true "abcdefghijklmnopqrstuvwxyz" :string_reverse false :string_from_char true :exec_dup (true :string_contains :string_indexof_char :string_length)), :runtime (0.003165163999999999 0.003122616000000003 0.0031444679999999992 0.0031087960000000026 0.0031957599999999963 0.0031288920000000007 0.003092852000000001), :total-error 1, :amalgamated-error 1.021958548}
{:generation 12, :program (:integer_mult :integer_mult :integer_eq :string_rest :string_eq :string_iterate (:string_reverse :string_iterate (:boolean_eq :in2 :string_remove_char :string_parse_to_chars :string_nth :string_drop true "" 2 :integer_add true :string_contains :integer_eq :string_contains :string_remove_char :string_length :integer_add true true :string_contains :string_take :string_contains true :string_take :string_take :string_butlast true true :string_take false :string_iterate (false true :string_concat :string_contains_char :integer_subtract 0 :string_reverse)))), :runtime (0.0030690760000000004 0.0031517879999999996 0.0031223480000000014 0.003195692000000001 0.003177628 0.003227512 0.003157460000000002), :total-error 1, :amalgamated-error 1.022101504}
{:generation 13, :program (:string_reverse :integer_subtract :string_butlast :string_contains :boolean_not :boolean_eq :string_parse_to_chars true :string_butlast :string_parse_to_chars :string_eq true :string_remove_char :string_iterate (:string_remove_char :in2 :string_contains_char :exec_dup (:string_iterate (false :string_contains :string_concat :boolean_and true :in2 1 false 2 2 :string_length :string_butlast 1 :integer_subtract :in2 :string_occurencesof_char false 2 :integer_mult :string_butlast :boolean_or :integer_subtract :string_contains :string_indexof_char true :string_reverse :string_remove_char :integer_add)))), :runtime (0.003116852 0.0031296559999999985 0.0031406359999999996 0.0031634959999999996 0.001811756 0.003095568 0.003261883999999999), :total-error 1, :amalgamated-error 1.020719848}
{:generation 14, :program (:in1 :string_take :integer_quot :string_rest :string_parse_to_chars false 2 :string_reverse :in2 :boolean_or :string_indexof_char :string_contains :boolean_or :string_nth :in2 :boolean_eq :string_parse_to_chars :boolean_eq 0 :integer_mult :boolean_not :string_rest :string_butlast :integer_eq :string_replace_char :string_nth :boolean_or :integer_mult :string_occurencesof_char :string_replace_char :string_nth true true :boolean_eq :string_nth :string_eq), :runtime (0.012347211999999998 0.003157316000000001 0.0031953480000000015 0.0031609280000000025 0.0031330080000000014 0.0031361799999999993 0.003149919999999998), :total-error 1, :amalgamated-error 1.031279912}
{:generation 15, :program (:in2 :string_parse_to_chars :boolean_not :in2 :string_from_char :string_from_char :string_reverse :integer_quot :in1 :string_take 1 1 :integer_subtract false :string_concat :boolean_not :string_concat :string_concat :integer_eq :boolean_and 2 1 true :string_iterate (:exec_dup (:string_contains))), :runtime (0.00312774 0.003111615999999999 0.0031730519999999983 0.003149171999999999 0.04262711999999999 0.003152408000000001 0.0031179239999999993), :total-error 1, :amalgamated-error 1.061459032}
{:generation 16, :program (true :string_contains true false 2 :string_remove_char :string_eq :exec_dup (false :boolean_not :boolean_or :string_rest :in2 2 :string_remove_char :string_parse_to_chars :integer_mult :string_contains :string_drop :string_contains :in2 1 :string_parse_to_chars "" :string_contains :boolean_and :boolean_eq :string_indexof_char :string_indexof_char :string_replace_char :string_length :string_contains :integer_add :string_remove_char :string_butlast :string_from_char :integer_eq :string_contains :string_nth 1 :string_take :exec_dup ())), :runtime (0.0031168840000000016 0.0031102680000000007 0.0032011039999999998 0.003194923999999999 0.0031432920000000024 0.0031738559999999996 0.0031655599999999996), :total-error 1, :amalgamated-error 1.022105888}
{:generation 17, :program (:in2 :in1 :string_contains :in2 :string_from_char :integer_eq :string_parse_to_chars :string_indexof_char :integer_add :string_reverse false 2 :in1 :integer_quot false :string_concat :string_nth :boolean_or 2 :in2 :string_contains_char false :string_concat :string_contains_char :boolean_eq :string_occurencesof_char :integer_subtract true :string_from_char :in2 :string_eq :string_take :string_reverse true :integer_add :string_rest :string_take :integer_eq :string_contains), :runtime (0.0030738640000000004 0.0032094319999999977 0.003244288000000002 0.0032121399999999987 0.003190079999999997 0.0031374840000000003 0.0031761839999999977), :total-error 1, :amalgamated-error 1.022243472}
{:generation 18, :program (:string_from_char :string_parse_to_chars :boolean_not :in2 :integer_quot :boolean_and :string_take true :integer_subtract :string_nth false :string_concat :in2 :integer_mult :integer_eq :string_contains_char :string_parse_to_chars :string_reverse :exec_dup (:string_contains) true :string_contains :string_iterate (:string_eq :string_contains)), :runtime (0.0030789959999999983 0.0031908960000000017 0.003136955999999999 0.0031511560000000013 0.0030535199999999997 0.0032531759999999996 0.05519834799999999), :total-error 1, :amalgamated-error 1.074063048}
{:generation 19, :program (:in2 :boolean_and :string_reverse :string_parse_to_chars :string_from_char :string_take 1 1 :integer_subtract false :string_concat :in2 :boolean_not :string_concat :integer_eq 2 true :exec_dup (:string_contains)), :runtime (0.003096284 0.003294999999999997 0.003066503999999999 0.003220108 0.010784608 0.0031294199999999986 0.0031991359999999996), :total-error 1, :amalgamated-error 1.02979106}
{:generation 20, :program (:string_contains :string_remove_char :in2 true true :in2 :string_replace_char :string_from_char :string_butlast :string_contains :in2 :integer_mult 1 1 2 :string_contains :string_drop :string_occurencesof_char :string_drop :string_remove_char 0 :in2 :string_reverse :boolean_or true :string_contains :string_iterate (:string_indexof_char 2 :string_eq :string_take :string_contains :integer_add 2)), :runtime (0.003150188000000003 0.0031292600000000005 0.0031482679999999975 0.0031037999999999994 0.003179871999999999 0.003143963999999999 0.0031586600000000015), :total-error 1, :amalgamated-error 1.022014012}
{:generation 21, :program (:string_contains :string_occurencesof_char :boolean_and :string_reverse 1 :string_rest false :in2 :string_drop :string_indexof_char :boolean_eq :string_eq :string_iterate (:boolean_eq :boolean_eq true :string_remove_char :string_reverse :in2 :string_parse_to_chars true :integer_add 2 :string_parse_to_chars :string_length :boolean_not :string_contains_char :string_length :boolean_eq :string_replace_char :string_butlast :string_concat :string_from_char :string_indexof_char :string_reverse 1 :string_replace_char true :string_concat :integer_add :string_contains_char :string_eq :integer_add)), :runtime (0.0031501359999999996 0.0031516720000000003 0.0031459960000000033 0.00325552 0.0030479519999999996 0.0031677360000000017 0.041865596000000053), :total-error 1, :amalgamated-error 1.060784608}
{:generation 22, :program (:string_reverse :string_indexof_char :in1 :string_contains :in1 :boolean_not :integer_subtract :string_iterate (:string_length :string_iterate (:integer_mult :string_take :in2 :boolean_or :string_concat :string_remove_char :string_eq :string_contains :string_indexof_char :string_replace_char true :string_eq :string_occurencesof_char :integer_eq :string_parse_to_chars :string_contains 2 :string_length :string_occurencesof_char :in1 true :string_contains :string_occurencesof_char))), :runtime (0.003206772 0.0032050000000000004 0.003144523999999998 0.0031939760000000007 0.0031764359999999995 0.003149527999999999 0.007235828000000002), :total-error 1, :amalgamated-error 1.026312064}
{:generation 23, :program (2 :string_eq :integer_quot true :exec_if (:string_drop :string_length :string_contains :string_contains :in2 2 :string_remove_char false 1 2 :string_contains :string_contains 1 :string_parse_to_chars :string_replace_char :string_contains :string_rest :string_parse_to_chars true true :in2 :string_contains :integer_quot :string_contains :string_eq) ()), :runtime (0.0030671040000000015 0.0031828640000000036 0.0032444680000000012 0.0032094880000000004 0.0031951239999999993 0.003138160000000001 0.0031595519999999986), :total-error 1, :amalgamated-error 1.02219676}
{:generation 24, :program (:string_parse_to_chars :integer_mult :string_parse_to_chars :string_occurencesof_char :string_parse_to_chars :string_eq :string_iterate (:exec_dup (:string_take :in2 :boolean_or :string_parse_to_chars :string_contains) :in2 1 :string_contains :integer_mult :in2 :string_concat true :exec_dup (:in1)) :string_nth :boolean_or :string_remove_char :integer_add :string_concat :string_rest :string_nth :string_eq :string_concat), :runtime (0.0031662480000000004 0.003172224000000002 0.0031833759999999995 0.0031702959999999987 0.003192883999999999 0.003163040000000001 0.003174444000000003), :total-error 1, :amalgamated-error 1.022222512}
{:generation 25, :program (:string_parse_to_chars :string_parse_to_chars :string_occurencesof_char :string_parse_to_chars 1 :string_eq :string_iterate (:exec_dup (:string_take :string_occurencesof_char :in2 :boolean_or :string_parse_to_chars 1 :string_contains :integer_mult :integer_eq :in2 :string_concat true :in1)) :string_nth :boolean_or :string_remove_char :string_concat :string_rest :string_nth :string_eq :string_concat), :runtime (0.0031164319999999993 0.0031882720000000015 0.0031179200000000006 0.003147720000000002 0.0031434119999999995 0.06802703200000002 0.003101755999999997), :total-error 1, :amalgamated-error 1.086842544}
{:generation 26, :program (:string_parse_to_chars :integer_mult false :string_reverse false :string_eq :exec_dup (:exec_dup (:in1 :boolean_and :string_indexof_char :string_occurencesof_char :boolean_or :string_parse_to_chars :string_contains) :in2 :string_take :string_contains :in2 0 true) :in1 :string_rest :string_reverse :boolean_or :string_contains :string_remove_char :integer_add :string_eq :in2), :runtime (0.0018139360000000008 0.0031125599999999995 0.0030960720000000027 0.0031727999999999995 0.0031188719999999974 0.003080816000000001 0.0031007639999999993), :total-error 1, :amalgamated-error 1.02049582}
{:generation 27, :program (:integer_subtract :string_length :string_parse_to_chars :integer_eq :integer_subtract :string_take :string_replace_char :string_indexof_char :string_occurencesof_char 0 :boolean_not :string_occurencesof_char :in2 :string_drop :string_parse_to_chars :string_length :in2 :string_contains :boolean_or :in2 :in1 :string_reverse :string_contains_char :string_concat :boolean_or :integer_mult :string_occurencesof_char :string_nth :string_parse_to_chars :string_contains), :runtime (0.0031775240000000023 0.0031743799999999996 0.0018838720000000002 0.0018280159999999991 0.0018242879999999992 0.001823276 0.0018229999999999998), :total-error 1, :amalgamated-error 1.015534356}
{:generation 28, :program (:string_occurencesof_char :string_drop true :string_remove_char :string_contains :string_iterate (:integer_subtract :string_parse_to_chars :string_parse_to_chars :string_replace_char :boolean_eq :in2 :string_rest :string_parse_to_chars :string_occurencesof_char :string_drop true false :string_occurencesof_char :string_concat :boolean_eq :string_concat :string_contains :exec_if (true :string_nth true :string_concat :string_contains :exec_if (:string_replace_char :string_remove_char 2 :string_concat :string_indexof_char false :integer_subtract :boolean_or :string_contains) ()) ())), :runtime (0.0031505279999999997 0.003127427999999999 0.0030825479999999988 0.0030766760000000004 0.0030470280000000002 0.021246504000000003 0.003103152000000001), :total-error 1, :amalgamated-error 1.039833864}
{:generation 29, :program (:string_eq :integer_subtract :string_parse_to_chars :boolean_eq :integer_subtract true :integer_add :string_indexof_char :string_occurencesof_char 0 :string_drop :in2 :string_drop :string_parse_to_chars :in2 :in2 :string_contains :string_parse_to_chars :integer_eq true :string_contains :string_contains_char :string_concat :boolean_or :boolean_or :integer_mult :string_occurencesof_char :string_contains), :runtime (0.003214484 0.003190935999999999 0.003151248000000001 0.003110731999999999 0.0032149880000000007 0.0031507199999999988 0.0031081560000000017), :total-error 1, :amalgamated-error 1.022141264}
{:generation 30, :program (:integer_quot 0 :string_reverse :integer_eq false :string_contains :integer_eq :in2 :in2 :string_occurencesof_char :string_occurencesof_char :string_parse_to_chars :string_concat :string_parse_to_chars true :string_occurencesof_char :string_rest :boolean_not :in2 :string_contains :string_contains_char :string_from_char :string_reverse :integer_eq :in1 :string_eq :string_nth :integer_quot :string_contains :boolean_or :integer_eq), :runtime (0.0031254199999999994 0.003177292 0.0032269080000000023 0.0030684999999999987 0.00306112 0.0031036600000000024 0.0030699560000000013), :total-error 1, :amalgamated-error 1.021832856}
{:generation 31, :program (:integer_quot :string_occurencesof_char true :string_drop true :string_take :boolean_eq :string_indexof_char :in2 :exec_if (:exec_dup (2 :integer_mult 0 1 :string_rest 1) true :in2 :string_parse_to_chars :boolean_and :string_length "abcdefghijklmnopqrstuvwxyz" :string_contains :string_iterate (:string_from_char :string_length :string_occurencesof_char :string_concat 2 :string_contains :string_nth :string_replace_char)) ()), :runtime (0.003145051999999998 0.0031271960000000005 0.003139376000000001 0.0031951799999999997 0.003108256 0.0018332560000000001 0.001834508000000001), :total-error 1, :amalgamated-error 1.019382824}
{:generation 32, :program (:string_eq :string_drop 0 :string_occurencesof_char :in2 :in2 0 false :string_parse_to_chars :string_concat :integer_quot :string_from_char 0 :string_occurencesof_char :string_parse_to_chars :in1 :string_parse_to_chars :string_length :string_length :boolean_eq :in1 :integer_add :string_nth true :string_remove_char :string_from_char true true 2 :string_drop :string_concat 2 :string_contains), :runtime (0.0032800999999999993 0.003181772 0.003188567999999998 0.003174088000000002 0.028496680000000035 0.0030215160000000023 0.003125080000000001), :total-error 1, :amalgamated-error 1.047467804}
{:generation 33, :program (:string_contains :string_contains :boolean_eq 2 :integer_add true :string_contains 0 :integer_subtract :string_contains_char :string_parse_to_chars :in2 :string_from_char 0 :string_parse_to_chars :integer_mult :string_drop :string_drop :string_nth :in2 :string_parse_to_chars false :string_iterate (:boolean_eq :string_eq :string_indexof_char :string_contains true :string_reverse) :string_eq), :runtime (0.0031606560000000004 0.0031804120000000005 0.003205296000000001 0.003132219999999999 0.0031781760000000026 0.003146204 0.003100939999999999), :total-error 1, :amalgamated-error 1.022103904}
{:generation 34, :program (2 :string_nth :string_contains :string_contains :in2 :string_parse_to_chars :integer_eq :string_from_char :integer_mult "" :string_parse_to_chars :in2 :integer_eq :string_remove_char :string_parse_to_chars 1 :string_contains 2 :boolean_or :string_contains true :integer_add :string_from_char true :exec_dup (true :string_eq :string_eq :string_butlast :exec_dup ())), :runtime (0.028505743999999986 0.0031660520000000012 0.0031481839999999988 0.0031605959999999986 0.0030973680000000005 0.0031837160000000014 0.003095979999999999), :total-error 1, :amalgamated-error 1.04735764}
{:generation 35, :program (:integer_mult :string_contains :in2 :integer_quot :string_occurencesof_char :string_eq :integer_mult :string_rest :string_drop :string_reverse :string_parse_to_chars false :string_replace_char 2 :boolean_not :integer_mult :string_from_char 2 true true true :integer_mult :string_contains :integer_quot :string_eq :string_contains :string_indexof_char :string_concat :boolean_or :string_length :string_concat), :runtime (0.003157524000000001 0.0031167360000000006 0.0031573519999999983 0.0031404959999999996 0.003165784 0.003101188 0.076205068), :total-error 1, :amalgamated-error 1.095044148}
{:generation 36, :program (:boolean_or :string_reverse :string_butlast :integer_quot true :integer_add :boolean_or true :integer_mult :boolean_or :string_contains :string_remove_char :in2 :integer_subtract :string_reverse :string_parse_to_chars :string_remove_char :boolean_eq :string_iterate (0 :string_contains :integer_quot :integer_quot true :string_contains :string_take :string_indexof_char :string_from_char :string_take)), :runtime (0.037366499999999976 0.003134571999999999 0.003120575999999999 0.0031543919999999994 0.0031276280000000004 0.0018584799999999996 0.005445836000000002), :total-error 1, :amalgamated-error 1.057207984}
{:generation 37, :program (:string_remove_char :integer_subtract :string_take :string_indexof_char :in2 0 :integer_subtract :string_eq :string_parse_to_chars false :string_occurencesof_char :integer_quot :string_rest :string_replace_char :in2 :string_contains_char :integer_add :string_take :string_contains :exec_if (true :string_reverse :boolean_or :string_concat :string_length :boolean_or 2 :boolean_and :string_replace_char 2 :string_replace_char :string_contains_char :string_contains) ()), :runtime (0.0031241040000000012 0.0031340999999999986 0.007599587999999997 0.0031070799999999995 0.0032023440000000015 0.0031960559999999996 0.0031780080000000013), :total-error 1, :amalgamated-error 1.02654128}
{:generation 38, :program (:integer_mult :integer_subtract true :string_drop :in2 :string_nth :string_eq :string_drop false :string_drop :in2 :string_parse_to_chars :in2 :string_contains :string_iterate (:string_contains :string_rest :string_contains :string_nth :string_contains_char :string_take :string_contains_char :boolean_or true :string_iterate (:string_contains :boolean_and :string_replace_char :string_contains :string_concat))), :runtime (0.0031713040000000015 0.0030762520000000002 0.0031676560000000018 0.003227944 0.003107996 0.003180356000000001 0.0030808800000000007), :total-error 1, :amalgamated-error 1.022012388}
{:generation 39, :program (1 true :integer_subtract :string_eq :string_nth :string_contains :string_replace_char :integer_subtract :integer_add :string_reverse :in2 :integer_add :integer_eq :integer_add :string_from_char :string_eq :string_contains true "" :string_contains :in2 true :string_parse_to_chars :boolean_or :string_contains "abcdefghijklmnopqrstuvwxyz" false :string_contains :string_replace_char :string_contains :integer_quot :string_drop), :runtime (0.0031539119999999996 0.0031287960000000014 0.003069652 0.003153368 0.003198912000000001 0.0031931119999999993 0.0032112720000000003), :total-error 1, :amalgamated-error 1.022109024}
{:generation 40, :program (:in1 :boolean_or :integer_quot :string_from_char true :string_drop :string_from_char :integer_mult :in2 :string_eq :string_butlast :integer_subtract :string_remove_char :integer_eq :in2 :string_contains_char :string_parse_to_chars :string_drop :string_remove_char true :string_contains :string_contains :integer_quot :string_take :integer_quot true :string_contains :string_take :string_nth :string_concat), :runtime (0.00314448 0.003266004000000001 0.0030790280000000006 0.003298648 0.003202195999999998 0.0031490599999999982 0.0031771079999999992), :total-error 1, :amalgamated-error 1.022316524}
{:generation 41, :program (:boolean_or :integer_add :boolean_or :string_eq :string_nth :string_contains :in2 1 :string_rest :string_parse_to_chars :in1 :string_occurencesof_char :string_contains true :string_contains :exec_dup (1)), :runtime (0.0031559599999999998 0.003184232000000001 0.003213475999999995 0.003159560000000001 0.003107408000000001 0.003188376 0.0032939279999999994), :total-error 1, :amalgamated-error 1.02230294}
{:generation 42, :program (:boolean_or :string_replace_char :integer_add :boolean_or :string_eq :string_nth :string_contains :in2 1 :string_rest :string_parse_to_chars :in1 :string_contains true :string_contains 1), :runtime (0.0031003399999999983 0.0031744239999999995 0.0031583280000000028 0.003159267999999999 0.0030969879999999984 0.003141668 0.04760409199999997), :total-error 1, :amalgamated-error 1.0664351079999999}
