{:generation 0, :program (:string_occurencesof_char :integer_mult :string_reverse :string_from_char :string_parse_to_chars :string_length :string_replace_char :string_nth 1 :string_replace_char :string_rest :string_rest :exec_if (:string_butlast :boolean_or :string_contains_char :string_contains_char :string_remove_char :exec_dup (:integer_subtract "b" :string_butlast :string_indexof_char :integer_quot :string_occurencesof_char :in1 :string_drop :string_rest :string_nth :integer_mult 1 :string_reverse :string_occurencesof_char :string_iterate ("a" :string_take :integer_add "" :string_reverse :string_eq "b" :string_take :integer_eq :string_drop :string_concat :integer_subtract :string_indexof_char :boolean_or :integer_add) :string_reverse true :integer_mult 1 :string_drop true true :string_contains :boolean_not "b" :string_contains :string_concat :boolean_not :string_from_char :integer_add :string_from_char :boolean_eq :string_length :string_occurencesof_char :string_remove_char :string_butlast :string_butlast :boolean_and "abcdefghijklmnopqrstuvwxyz" :string_remove_char :integer_eq true :boolean_and :string_from_char :boolean_eq :string_nth "" :integer_quot "a" :string_contains_char :string_nth :string_replace_char :string_indexof_char "a" :string_nth)) ()), :runtime (0.003261468 0.0033213839999999967 0.003197548000000001 0.0032047200000000003 0.003187452000000001 0.0031833480000000008 0.003166432), :total-error 2, :amalgamated-error 2.022522352}
{:generation 11, :program (:string_indexof_char :string_from_char :string_indexof_char :in1 :string_replace_char :exec_if (:string_iterate (:boolean_not :string_parse_to_chars :string_eq :exec_if (:string_eq :string_from_char 1 true :string_occurencesof_char :string_contains :string_concat) (:string_indexof_char :string_nth :string_butlast true :string_nth :in1 :string_take :string_contains_char false "a" :string_contains false :integer_mult :string_butlast :string_parse_to_chars "b" :string_replace_char "b" :integer_eq :boolean_and :in1 false :string_from_char 1))) ()), :runtime (0.0032317159999999986 0.0031749119999999968 0.0031576680000000006 0.0031760960000000006 0.003160179999999998 0.003179011999999999 0.003159876000000002), :total-error 0, :amalgamated-error 0.022239459999999996}
{:generation 12, :program (:string_eq :integer_quot :string_contains_char :boolean_eq :string_contains_char :boolean_and "abcdefghijklmnopqrstuvwxyz" :boolean_or "abcdefghijklmnopqrstuvwxyz" :string_drop :integer_eq :exec_dup (:string_eq :integer_subtract :string_contains :string_occurencesof_char :string_nth :string_contains "abcdefghijklmnopqrstuvwxyz" false :string_from_char :boolean_not :integer_mult 0 :string_from_char :integer_quot :string_replace_char :in1 :string_iterate (:boolean_not 0 :string_concat :string_from_char 1 :string_iterate (:string_reverse :boolean_not) :string_eq :string_butlast :string_contains_char :boolean_or :string_length 1 :string_eq "" :string_from_char :exec_dup ()))), :runtime (0.003116667999999999 0.003232344000000001 0.003247615999999999 0.003168988000000001 0.003144347999999999 0.0032220040000000014 0.003118492), :total-error 1, :amalgamated-error 1.02225046}
{:generation 13, :program (:string_from_char :string_drop :in1 "a" false 1 :integer_mult :boolean_and 1 :string_iterate (:string_iterate (:string_contains_char :string_iterate () :boolean_or :string_contains_char :string_parse_to_chars :string_occurencesof_char "abcdefghijklmnopqrstuvwxyz" :boolean_and false "b" :integer_eq :string_length :integer_mult :in1 :string_drop false :integer_quot :string_concat :string_occurencesof_char :string_take :string_from_char :boolean_not :integer_subtract "abcdefghijklmnopqrstuvwxyz") :string_butlast false :string_contains :string_iterate (:boolean_and true :exec_dup (:string_remove_char :string_indexof_char :string_take :string_concat :boolean_eq :integer_mult :string_parse_to_chars :integer_subtract :string_contains)))), :runtime (0.0032363039999999984 0.003192555999999999 0.008116908000000003 0.0018338519999999997 0.0018876799999999992 0.0018953039999999996 0.0018183319999999993), :total-error 1, :amalgamated-error 1.021980936}
{:generation 14, :program (:integer_eq :boolean_or :string_from_char :string_indexof_char :in1 :string_replace_char "abcdefghijklmnopqrstuvwxyz" :boolean_or "abcdefghijklmnopqrstuvwxyz" :integer_eq :exec_dup (:string_eq :integer_subtract :string_contains :string_from_char 1 true "abcdefghijklmnopqrstuvwxyz" :integer_mult) :string_concat 0 :string_take :string_length :string_replace_char :in1 :string_iterate (:boolean_not 0 :string_concat :string_from_char "a" :string_drop :string_drop :integer_mult :string_eq :string_butlast "b" :boolean_or "b" "" :string_from_char :exec_dup ())), :runtime (0.0030758320000000014 0.0032160399999999994 0.0030886480000000003 0.0034282919999999995 0.003219212 0.0032048599999999973 0.002611324000000001), :total-error 1, :amalgamated-error 1.021844208}
{:generation 15, :program (:in1 :in1 :string_reverse :in1 :string_iterate (:string_eq :string_iterate (true :string_occurencesof_char :string_remove_char "b" :in1 :string_contains :string_contains false :string_concat "") false :string_contains_char "abcdefghijklmnopqrstuvwxyz" :boolean_eq false :string_contains :boolean_and :string_length :string_parse_to_chars :string_concat :string_replace_char :integer_quot :string_length :string_from_char :integer_subtract false :integer_eq :string_from_char :integer_eq) false :string_from_char 1 :string_length), :runtime (0.003179380000000002 0.003229516000000001 0.0032510759999999986 0.0032531999999999995 0.0032044440000000033 0.0032141599999999985 0.0031409479999999993), :total-error 0, :amalgamated-error 0.022472724}
{:generation 16, :program (:in1 :string_reverse :integer_add :string_iterate (:string_eq :string_from_char true :string_occurencesof_char :string_contains :string_contains true :string_iterate () "" false :boolean_eq :integer_mult "b" true :boolean_eq :string_parse_to_chars :string_rest :string_length "b" :string_length :string_from_char false 0)), :runtime (0.0020852279999999997 0.0018317879999999996 0.0018391120000000006 0.0018346040000000003 0.0019017799999999998 0.001821816 0.0018353920000000004), :total-error 1, :amalgamated-error 1.01314972}
{:generation 17, :program (:boolean_and :string_contains :integer_quot :string_iterate (:integer_subtract :string_parse_to_chars :string_remove_char "a" :in1 :string_nth :string_iterate (:string_contains_char :boolean_or "b" "a" :boolean_or) :string_from_char :boolean_and :string_length :string_remove_char false 0 :string_contains_char 1 :exec_dup (:string_contains :string_parse_to_chars :in1 :string_drop :string_replace_char :string_from_char :integer_quot :string_contains :integer_subtract :integer_eq :string_nth :string_occurencesof_char :string_replace_char 1 :string_remove_char :string_rest :string_contains_char :boolean_and 1 :string_contains_char :string_iterate (false :string_occurencesof_char :string_occurencesof_char :string_eq :string_contains false :integer_quot :string_contains_char :boolean_eq :string_contains_char :boolean_and :string_contains_char)))), :runtime (0.0031327399999999993 0.003293475999999999 0.0032380519999999986 0.003250947999999999 0.0031985839999999995 0.003268616000000001 0.003242187999999999), :total-error 0, :amalgamated-error 0.022624604}
{:generation 18, :program (:boolean_not :in1 :string_reverse :string_take :string_eq :in1 :string_parse_to_chars :string_indexof_char :string_contains :string_reverse :string_eq :string_contains "" false :boolean_eq :boolean_and "b" :integer_eq :integer_eq :boolean_eq :string_contains :string_rest :string_concat "b" :boolean_not :string_contains_char :string_take "" :exec_dup (false :boolean_eq :string_indexof_char :boolean_and) :string_parse_to_chars :boolean_not :string_butlast :integer_subtract :string_indexof_char :string_replace_char :string_occurencesof_char), :runtime (0.003274343999999998 0.003210291999999999 0.003276628 0.0032445999999999985 0.003243656000000001 0.0030143759999999996 0.0031930639999999985), :total-error 0, :amalgamated-error 0.022456959999999995}
{:generation 19, :program (:boolean_not :in1 :string_take :integer_quot :string_eq :in1 :string_parse_to_chars :string_indexof_char :string_contains :string_reverse :string_eq :string_contains "" false :boolean_eq :boolean_and "" "b" :integer_eq :integer_eq :boolean_eq :string_contains :string_rest :string_concat "b" :boolean_not :string_contains_char :string_take "" :exec_dup (false :boolean_eq :string_indexof_char :boolean_and) :string_parse_to_chars :boolean_not :string_butlast :integer_subtract :string_replace_char :string_occurencesof_char), :runtime (0.003269944000000001 0.0032131439999999994 0.0031835439999999995 0.0032327159999999983 0.003297407999999999 0.0032127560000000006 0.003246203999999999), :total-error 0, :amalgamated-error 0.022655715999999996}
{:generation 20, :program (:boolean_not :string_take :string_butlast :integer_quot :string_eq 0 :in1 :string_parse_to_chars :string_indexof_char :string_contains :string_reverse :string_eq :string_contains "" false :boolean_eq :boolean_and "" "b" :integer_eq :boolean_eq :string_contains :string_rest :string_concat "b" :boolean_not :string_contains_char :string_take "" :exec_dup (false :boolean_eq :string_indexof_char :boolean_and) :integer_eq :string_parse_to_chars :boolean_not :string_butlast :integer_subtract :string_replace_char :string_occurencesof_char), :runtime (0.003327184 0.007675223999999997 0.0033217520000000025 0.003138659999999999 0.003204535999999999 0.003132975999999999 0.003230983999999999), :total-error 0, :amalgamated-error 0.027031315999999996}
{:generation 21, :program (:integer_mult :exec_dup (:in1 :boolean_eq :string_iterate (:in1 :string_nth :boolean_not :string_contains_char "a" :string_from_char :boolean_or :integer_mult "" :in1) 0 true :in1 :string_contains false :string_parse_to_chars :integer_add) :string_length :string_rest :exec_dup ("a" :string_concat :string_take true :integer_eq :string_length :integer_eq 0 1) :string_remove_char :string_occurencesof_char true :boolean_and :string_indexof_char 1 :string_butlast :string_parse_to_chars :boolean_eq :boolean_and :string_concat :string_remove_char :string_drop), :runtime (0.0031753439999999988 0.0032242999999999977 0.003206979999999999 0.0031446479999999964 0.0031520039999999995 0.0031908479999999983 0.0032491000000000004), :total-error 0, :amalgamated-error 0.02234322399999999}
{:generation 22, :program (:string_contains_char :in1 :integer_add :string_remove_char :string_iterate (:string_from_char true :in1 :integer_subtract :boolean_or :string_contains :string_butlast true :string_parse_to_chars :integer_quot "abcdefghijklmnopqrstuvwxyz" :string_indexof_char :boolean_not "" :string_length :string_nth :integer_mult :string_eq :string_eq :in1 true :string_contains :integer_add :string_nth false) :string_indexof_char :integer_add :integer_mult :boolean_and :boolean_eq :string_nth :string_concat "abcdefghijklmnopqrstuvwxyz" :string_contains_char :string_length :string_from_char :boolean_or 1 :integer_add :string_from_char :string_take :exec_dup (false) :string_iterate (:integer_eq :string_replace_char :exec_dup (false :string_replace_char :integer_add))), :runtime (0.0031915039999999987 0.003239976000000001 0.0026215719999999974 0.0018681879999999991 0.0018804959999999997 0.001833324 0.001891332), :total-error 1, :amalgamated-error 1.016526392}
{:generation 23, :program (:in1 :in1 :in1 :in1 :string_iterate ("b" :string_from_char false true :string_contains_char false :string_contains "b" :string_contains :string_drop :string_reverse 1 :integer_subtract :integer_subtract 1 :boolean_eq :string_drop false "b" :string_contains_char :string_occurencesof_char :integer_add :string_from_char :string_occurencesof_char :string_parse_to_chars :string_from_char :integer_add :integer_subtract :integer_quot true :string_nth :string_eq) :string_butlast :string_replace_char "abcdefghijklmnopqrstuvwxyz" :string_length :integer_add "abcdefghijklmnopqrstuvwxyz" false :in1), :runtime (0.0031655240000000007 0.001837388000000001 0.0018270639999999998 0.001886647999999998 0.0018840320000000003 0.0018307680000000004 0.0018699119999999994), :total-error 1, :amalgamated-error 1.014301336}
{:generation 24, :program (:string_butlast :integer_quot :in1 :string_iterate (:boolean_or :string_nth :string_from_char :string_contains :integer_eq :integer_subtract "" "b" :string_drop :string_from_char :in1 :string_contains true :string_drop :boolean_and 0 :boolean_eq :boolean_or :integer_subtract :string_contains :string_contains :in1 :integer_eq "b" :boolean_and :string_remove_char :string_occurencesof_char 0 :string_drop 1 "") :string_butlast :string_reverse false), :runtime (0.0032042279999999986 0.0032457600000000025 0.003240267999999997 0.0031625320000000013 0.003183812000000001 0.0031840159999999965 0.0031618520000000023), :total-error 0, :amalgamated-error 0.022382468}
{:generation 25, :program (:string_length :in1 :string_iterate (:integer_eq :string_from_char :string_contains :string_reverse :integer_subtract :string_contains :string_occurencesof_char :boolean_not :integer_mult :boolean_or :boolean_and :boolean_eq :boolean_or :integer_subtract :string_contains :integer_mult :string_contains :integer_eq 1 :string_from_char 0 :string_drop false) :string_drop false "" :integer_add), :runtime (0.0031903839999999984 0.0032343920000000004 0.003212324000000001 0.0032570199999999994 0.003227256 0.0031951519999999984 0.003202063999999999), :total-error 0, :amalgamated-error 0.022518591999999997}
{:generation 26, :program (:string_length :in1 :string_iterate (:integer_eq :string_from_char :string_contains :string_reverse :integer_subtract :string_contains :string_occurencesof_char :boolean_not :integer_mult :boolean_or :boolean_and :boolean_eq :boolean_or :integer_subtract :string_contains :integer_mult :string_contains :integer_eq 1 :string_from_char 0 :string_drop false) :string_drop false "" :integer_add), :runtime (0.003146764 0.0032792440000000006 0.008308195999999997 0.003173064000000003 0.003233096000000001 0.03927477199999997 0.0032292440000000005), :total-error 0, :amalgamated-error 0.06364437999999997}
{:generation 27, :program (:string_iterate (:in1 :string_parse_to_chars :string_eq :integer_eq :string_iterate ("" :integer_mult :string_butlast :boolean_or :in1 0 :boolean_not :string_iterate (:string_reverse :string_occurencesof_char :boolean_not :integer_add :string_take :boolean_eq "" :string_drop :integer_subtract :string_parse_to_chars :in1 :string_drop "abcdefghijklmnopqrstuvwxyz" :string_remove_char :string_reverse :boolean_eq :boolean_eq :string_drop "abcdefghijklmnopqrstuvwxyz") :string_replace_char :string_indexof_char :integer_add)) false false), :runtime (0.0032534039999999992 0.003232780000000001 0.003285223999999998 0.0031626040000000007 0.0031713879999999994 0.003203067999999999 0.003360099999999999), :total-error 0, :amalgamated-error 0.022668567999999997}
{:generation 28, :program (:string_contains :in1 :string_iterate (:string_concat "b" :in1 :in1 :string_occurencesof_char :integer_quot :string_from_char :string_butlast :string_contains :string_indexof_char :string_rest "" :string_take :integer_mult :boolean_and :string_drop :string_nth :string_contains_char :string_drop :string_contains_char false) :string_drop :string_remove_char :boolean_and :string_from_char :boolean_eq true :boolean_eq :exec_if () (:string_iterate (:integer_subtract false :string_replace_char :string_butlast :string_parse_to_chars))), :runtime (0.003168424 0.0031956840000000007 0.003151140000000001 0.003139460000000002 0.003237787999999999 0.0024848360000000007 0.0019980959999999987), :total-error 0, :amalgamated-error 0.020375428}
{:generation 29, :program (:exec_dup (:string_contains :in1 :string_iterate (:string_concat "b" :in1 :in1 :string_occurencesof_char :string_from_char :string_butlast :string_contains :string_indexof_char :string_rest "" :string_take :integer_mult :boolean_and :string_drop :string_nth :string_contains_char :string_from_char :string_drop :string_contains_char false) :string_drop :string_remove_char :boolean_and :string_from_char :boolean_eq true :boolean_eq :string_reverse :exec_if () (:integer_subtract :string_replace_char :string_butlast :string_parse_to_chars))), :runtime (0.0031846439999999986 0.0031626439999999983 0.003234207999999999 0.0032152359999999994 0.003175495999999998 0.003228972 0.0032176680000000004), :total-error 0, :amalgamated-error 0.02241886799999999}
{:generation 30, :program (:in1 :string_iterate (:string_iterate (:in1 :string_contains :integer_subtract :string_occurencesof_char :string_contains_char :integer_mult :string_drop :string_from_char :string_parse_to_chars :integer_quot :string_contains_char :in1 :string_contains_char :in1 :boolean_or :string_eq "abcdefghijklmnopqrstuvwxyz" "b") :string_indexof_char :boolean_eq :integer_mult "b" :in1 :integer_eq :string_nth) :string_length "abcdefghijklmnopqrstuvwxyz" :string_take :string_drop :string_iterate (:string_iterate (:string_contains_char :string_replace_char :integer_quot :string_nth :string_drop 1 false :string_take :string_replace_char))), :runtime (0.0031630159999999985 0.0031886240000000014 0.0032403200000000005 0.0032498519999999997 0.0031924000000000006 0.0032427600000000003 0.016576131999999997), :total-error 0, :amalgamated-error 0.035853104}
{:generation 31, :program (:integer_mult :boolean_not :in1 :in1 :string_iterate (:string_indexof_char :string_drop :integer_quot :in1 "" "" :string_reverse :string_contains :string_contains :integer_subtract "" 1 "" true :boolean_or :boolean_or :integer_mult :string_eq :in1 :string_contains "b" :string_replace_char :string_from_char) :string_iterate (:string_drop :string_length :string_from_char :string_butlast false :boolean_eq false :string_indexof_char true false :integer_add) false :string_length), :runtime (0.003156415999999998 0.0031971919999999997 0.003196080000000002 0.0030975439999999994 0.0032583600000000005 0.0031623839999999986 0.0032327959999999987), :total-error 0, :amalgamated-error 0.022300771999999996}
{:generation 32, :program (:string_contains_char :exec_dup (:integer_add :string_occurencesof_char :string_iterate (:integer_eq :boolean_not :in1 :integer_subtract :string_contains :string_nth :string_iterate (:string_replace_char "abcdefghijklmnopqrstuvwxyz" :string_take :string_contains :string_contains_char :string_remove_char :boolean_or :in1) "" false :string_rest :string_concat :string_contains_char :string_parse_to_chars :in1 :string_contains :boolean_eq :string_indexof_char :string_contains :integer_quot :string_eq :string_replace_char 1 :integer_eq :string_length :string_butlast :string_contains :integer_eq :string_length :integer_eq :integer_subtract :string_concat :integer_mult :string_remove_char :string_from_char :string_drop :string_indexof_char) false :string_butlast :string_iterate (:string_reverse :string_replace_char :exec_dup ()))), :runtime (0.0031815680000000014 0.0031467999999999995 0.003203740000000002 0.0031949200000000043 0.0031784319999999993 0.0031019240000000007 0.003180347999999998), :total-error 0, :amalgamated-error 0.02218773200000001}
{:generation 33, :program (:integer_mult :boolean_not :integer_eq :in1 :in1 :string_iterate (:string_indexof_char :integer_quot :in1 "" "" :string_reverse :string_contains :string_contains :integer_subtract :string_parse_to_chars 1 "" :boolean_or :boolean_or :boolean_or :integer_mult :string_eq :in1 :string_contains :string_contains_char :integer_quot :string_from_char) :boolean_or :string_iterate (:string_from_char :string_butlast :string_replace_char false :boolean_eq :string_butlast :in1 :integer_mult false true :string_drop false :string_length)), :runtime (0.003167960000000002 0.0031465720000000003 0.003215628000000003 0.003265768000000001 0.0031520320000000017 0.0031342479999999996 0.003178068000000001), :total-error 0, :amalgamated-error 0.02226027600000001}
{:generation 34, :program (:string_parse_to_chars :integer_eq :string_length :in1 :string_iterate ("" :integer_subtract :boolean_not :string_iterate ("b" :string_contains "a") :integer_mult :string_eq :integer_mult "abcdefghijklmnopqrstuvwxyz" true 0) :string_take true :string_parse_to_chars "" :exec_dup (:exec_dup (:string_rest :string_occurencesof_char :string_length "a" :string_occurencesof_char :string_length :string_reverse :boolean_not :boolean_not :string_occurencesof_char 0 :string_from_char :integer_eq :string_contains "b" :string_nth :string_drop :boolean_eq "a" :string_occurencesof_char :exec_if (1 false) ()))), :runtime (0.003146856000000001 0.003262248000000001 0.0032409399999999994 0.003172263999999999 0.003244936000000002 0.003214292000000002 0.002709823999999999), :total-error 0, :amalgamated-error 0.02199136}
{:generation 35, :program (:in1 "abcdefghijklmnopqrstuvwxyz" :exec_dup (:string_length :string_iterate (:string_from_char :integer_subtract "b" :in1 :string_contains "" :integer_quot :integer_mult 0 :string_rest "" :string_contains 0 :string_eq false false true :string_take :boolean_eq)) :string_concat :string_from_char :string_indexof_char "a" "b" :string_nth "" :string_drop :string_drop :string_eq :string_replace_char :exec_dup () :string_from_char :string_replace_char :in1), :runtime (0.0030988199999999995 0.0030971279999999993 0.0031631840000000003 0.003173212000000003 0.0032044000000000005 0.0030978679999999997 0.003191448000000001), :total-error 0, :amalgamated-error 0.022026060000000004}
