{:generation 0, :program (1 :string_take :string_replace_char false :string_occurencesof_char :string_reverse :integer_add :string_parse_to_chars :in2 true "" :string_take :in2 :string_iterate (:integer_add :string_from_char :string_concat 2 :string_indexof_char :integer_subtract :string_from_char :string_nth :string_nth :string_contains :string_replace_char :string_length :boolean_not :boolean_and 2 :string_contains "abcdefghijklmnopqrstuvwxyz" :boolean_not :string_remove_char :string_replace_char :string_contains :boolean_or :string_contains 2 :string_eq)), :runtime (0.0031701120000000014 0.003194880000000001 0.0030761440000000016 0.003177440000000001 0.003162472000000001 0.003103856 0.0032259880000000025), :total-error 2, :amalgamated-error 2.022110892}
{:generation 11, :program (:in1 :integer_mult :boolean_and :in2 :exec_if (:string_contains :string_occurencesof_char :boolean_eq :string_drop :string_nth :string_length :string_parse_to_chars :string_length :string_contains :string_iterate (:string_from_char 0 :in2 :string_occurencesof_char :exec_dup (:string_take :string_take 2 :string_occurencesof_char :string_from_char :string_parse_to_chars :in2 :integer_subtract :in2 :string_parse_to_chars :integer_subtract :in1 :boolean_eq :integer_subtract :string_nth "abcdefghijklmnopqrstuvwxyz" :string_indexof_char :string_contains :string_drop) :string_rest :boolean_and :string_eq :in1 true :string_parse_to_chars :string_iterate (:string_parse_to_chars :in1 :integer_mult 2 :in2 :integer_add :string_butlast :boolean_and))) ()), :runtime (0.003173063999999999 0.0031544320000000004 0.003204188000000001 0.003199919999999997 0.0031134999999999995 0.003111016000000001 0.003228595999999999), :total-error 0, :amalgamated-error 0.022184715999999997}
{:generation 12, :program (:integer_eq "" "" :boolean_or :string_take :integer_mult true :boolean_eq :boolean_eq :string_drop :exec_dup (:boolean_not :boolean_or :string_from_char :string_drop :in2 :integer_quot :integer_add :string_nth "" :integer_add :string_nth :string_take :string_from_char 0 :string_contains :in2 :string_parse_to_chars 2 "" :string_parse_to_chars :string_nth :string_length :string_iterate (:in1 1 1 :string_contains_char :integer_add true :boolean_or :integer_subtract :string_occurencesof_char :string_nth :exec_dup (:string_drop :string_eq :string_butlast :string_nth :integer_add :integer_eq 2)))), :runtime (0.0030840999999999998 0.0031309879999999995 0.0031567320000000006 0.003084219999999999 0.0030935799999999977 0.05520198799999998 0.0031724360000000007), :total-error 1, :amalgamated-error 1.073924044}
{:generation 13, :program (true :in1 :string_contains :exec_if (:string_indexof_char true :string_iterate (:boolean_eq :string_remove_char :string_parse_to_chars :integer_quot :string_contains :boolean_eq :string_rest :string_occurencesof_char 0 :in1 :string_parse_to_chars :string_take :string_take :string_reverse :exec_if (:boolean_not :string_length :string_length :integer_subtract :boolean_or :in2 :string_parse_to_chars :integer_subtract :string_nth :string_butlast 0 :string_contains :string_contains :boolean_eq :string_indexof_char :string_indexof_char :string_take :boolean_not "abcdefghijklmnopqrstuvwxyz" :exec_dup (:string_parse_to_chars :string_replace_char :string_parse_to_chars :in1 :string_concat)) ())) ()), :runtime (0.0031426719999999996 0.003091735999999998 0.003208264000000001 0.0031432760000000013 0.0031678560000000014 0.03922202 0.0031446720000000003), :total-error 1, :amalgamated-error 1.058120496}
{:generation 14, :program (:in1 :integer_mult :boolean_not 1 0 true true :string_replace_char 0 :string_from_char :string_iterate (:boolean_not 2 0 :string_from_char false 0 :in2 :string_iterate (:integer_quot :exec_dup (2 :boolean_and 0 :integer_subtract :string_eq :string_remove_char :string_contains_char :integer_quot :in2 :string_take :string_take false :string_butlast :string_drop) :string_iterate (true :string_contains)))), :runtime (0.0030992440000000014 0.0031612040000000004 0.0031314359999999996 0.0031899760000000006 0.003162428000000001 0.003135976000000001 0.003095691999999999), :total-error 1, :amalgamated-error 1.021975956}
{:generation 15, :program (:string_reverse :boolean_eq true :string_nth :string_parse_to_chars :string_replace_char :string_length :in2 :boolean_or :exec_dup (true 1 :string_iterate (:string_contains :string_indexof_char :integer_quot false :string_from_char :string_length :boolean_and :integer_add :string_eq :string_concat :string_parse_to_chars :integer_subtract :boolean_not true :boolean_or false :boolean_and :boolean_not "" :string_take :boolean_or :boolean_or :integer_eq :in2 "" :integer_quot true "abcdefghijklmnopqrstuvwxyz" :boolean_and :string_length :string_rest :string_occurencesof_char 0 :exec_dup (true :string_contains_char)))), :runtime (0.0031827200000000004 0.0030964360000000015 0.0031580440000000005 0.003204703999999999 0.0031683679999999987 0.0032321239999999977 0.003144788), :total-error 1, :amalgamated-error 1.022187184}
{:generation 16, :program (:string_occurencesof_char :string_rest :string_contains_char :string_remove_char :integer_eq 1 :string_length :integer_quot :string_take :string_nth :integer_subtract :integer_subtract :string_eq :string_take :integer_add :exec_dup (:in2 :exec_dup (:string_length :string_iterate (:string_length :integer_subtract :string_iterate (:string_iterate () :string_drop false :string_contains_char :boolean_and :string_reverse :string_contains :string_indexof_char :in1 :string_parse_to_chars :exec_dup ("" :integer_eq :integer_eq :in2 :string_rest :integer_mult false) :string_rest) :string_occurencesof_char "abcdefghijklmnopqrstuvwxyz" :string_indexof_char :boolean_and :boolean_not :exec_dup ())))), :runtime (0.0018753519999999998 0.0018235000000000007 0.010009151999999995 0.0019091280000000004 0.001836192000000002 0.0018817600000000006 0.0018372919999999997), :total-error 1, :amalgamated-error 1.021172376}
{:generation 17, :program (:integer_add :string_concat :boolean_or :string_occurencesof_char :string_drop :integer_add :integer_add 1 :string_reverse :in2 :in1 true :boolean_not :string_from_char "abcdefghijklmnopqrstuvwxyz" false :string_butlast :string_contains :string_occurencesof_char 2 :integer_add :string_iterate (:integer_quot :boolean_and :string_parse_to_chars :boolean_eq :string_remove_char) :exec_dup (:string_length :boolean_eq :integer_subtract :boolean_not :string_iterate (:integer_eq :integer_mult :string_contains :boolean_eq 1 false :string_concat :string_iterate (:string_from_char :string_indexof_char) :string_replace_char :in2 :string_occurencesof_char :string_contains_char :integer_eq :string_concat :string_butlast true :string_rest :string_rest :string_drop 2 "abcdefghijklmnopqrstuvwxyz" :exec_dup (:string_contains :boolean_not)))), :runtime (0.003198223999999999 0.0032106999999999995 0.0032157959999999986 0.0031511400000000006 0.06891551600000002 0.003216116000000001 0.003211995999999998), :total-error 1, :amalgamated-error 1.088119488}
{:generation 18, :program (:integer_eq :string_occurencesof_char :string_drop :in2 :boolean_or :integer_mult false :string_take :string_iterate (:string_take "abcdefghijklmnopqrstuvwxyz" :integer_eq :boolean_not :string_replace_char :string_contains :boolean_and :string_contains "" :string_replace_char :integer_eq :string_nth false :string_contains 2 :in1 1 :string_iterate (:string_contains :in2 :string_butlast :integer_add :string_eq :string_contains_char :string_parse_to_chars :integer_quot :string_butlast :string_butlast :integer_add :string_take true :string_contains :string_remove_char :integer_quot :string_parse_to_chars :string_replace_char))), :runtime (0.003234663999999999 0.003155187999999997 0.0031864440000000005 0.0031387519999999994 0.003159063999999998 0.003098188000000002 0.003251716000000002), :total-error 1, :amalgamated-error 1.022224016}
{:generation 19, :program (:integer_mult :string_contains "abcdefghijklmnopqrstuvwxyz" :string_rest :integer_eq :integer_add 1 :string_take :string_remove_char :in2 :in2 :string_eq "" :string_replace_char :in2 :in2 :integer_add :integer_add :string_contains_char :string_reverse :boolean_eq :string_iterate (true :boolean_eq :integer_subtract :string_occurencesof_char :string_iterate (:integer_mult :string_reverse :string_remove_char :string_reverse :integer_eq :string_parse_to_chars :string_nth :string_occurencesof_char :string_butlast false :string_length true "" :string_contains 0 :string_rest) :in2 2 :string_indexof_char :boolean_not :string_replace_char :exec_dup ())), :runtime (0.0031791279999999994 0.0031925080000000006 0.003103356000000002 0.0031229640000000006 0.03922894399999994 0.003209804000000003 0.0032541199999999997), :total-error 1, :amalgamated-error 1.058290824}
{:generation 20, :program (:string_rest 1 :string_occurencesof_char :string_rest :string_take true :string_eq :string_take :string_occurencesof_char :exec_dup (:string_take "abcdefghijklmnopqrstuvwxyz" :string_remove_char :string_occurencesof_char :string_concat :string_take :string_concat :boolean_and :string_iterate (:string_length :string_iterate (:in2 :boolean_eq :integer_eq :string_parse_to_chars 2 :string_occurencesof_char :string_take :string_reverse) :string_contains 0 true :string_contains :integer_subtract :string_contains) :string_eq 0 true) :string_drop :string_contains_char :string_nth :string_eq :string_length :string_occurencesof_char :boolean_and), :runtime (0.00320072 0.0032860200000000006 0.0031108999999999993 0.0031580760000000023 0.003269859999999998 0.0031157559999999995 0.0031736759999999994), :total-error 1, :amalgamated-error 1.022315008}
{:generation 21, :program (:integer_add :string_remove_char :string_take 1 :string_concat :string_occurencesof_char :integer_add :in2 true 1 :in2 :integer_eq 0 :boolean_and :boolean_not false :string_from_char :string_reverse :string_contains 2 :integer_add :integer_add :boolean_and "" 1 :boolean_eq :exec_dup (:exec_dup (true :boolean_and :integer_quot :string_length :integer_subtract :string_contains_char :string_remove_char :string_contains :string_contains :boolean_eq 1 true false :string_parse_to_chars :boolean_or :string_iterate (:string_from_char :string_replace_char :in2 :boolean_or :string_occurencesof_char :integer_eq 1 :string_butlast true :string_rest :string_rest "abcdefghijklmnopqrstuvwxyz" :in1 :exec_dup (:in1 :string_contains))))), :runtime (0.00321004 0.0031241839999999995 0.0031255800000000006 0.003143928000000001 0.003107775999999997 0.0030299039999999995 0.0031350920000000003), :total-error 1, :amalgamated-error 1.021876504}
{:generation 22, :program (:integer_mult :in2 :string_concat :string_occurencesof_char :string_iterate (:string_nth :string_length :integer_add :integer_eq 0 false false :string_rest :in2 :integer_add) :string_rest :exec_dup (:string_contains :integer_quot :exec_dup (:integer_subtract :boolean_not 0 "abcdefghijklmnopqrstuvwxyz" :boolean_and :string_remove_char 1 :in1) :string_parse_to_chars :boolean_or true :integer_quot :string_from_char) :string_length :in2 true :integer_mult 2 :integer_add true :string_contains :string_rest :string_reverse :string_drop :boolean_not), :runtime (0.003198068000000003 0.008707476 0.0031327759999999977 0.0031225479999999993 0.0031314599999999995 0.003208995999999998 0.0032534279999999983), :total-error 1, :amalgamated-error 1.027754752}
{:generation 23, :program (:integer_mult :integer_add :in2 0 :string_rest :string_occurencesof_char :string_iterate (:integer_quot :string_iterate (:string_eq :string_contains_char :string_take :integer_add :string_parse_to_chars :in1 :in2 :string_occurencesof_char :boolean_or false :integer_subtract :boolean_or :string_indexof_char 2 "" :string_contains_char false :string_length :string_remove_char :integer_subtract :boolean_and :integer_add) :boolean_and :string_contains_char :in1 :string_eq :string_concat false :string_rest :string_drop true :string_parse_to_chars :string_iterate () 2 false true :integer_subtract :in1 :string_iterate (:string_iterate ()))), :runtime (0.0031534399999999995 0.0032516839999999995 0.003218152 0.003296115999999997 0.003226023999999997 0.003259260000000003 0.0032254560000000007), :total-error 1, :amalgamated-error 1.022630132}
{:generation 24, :program (true :string_concat :string_contains_char :string_drop :integer_eq :string_take false :string_contains "" :boolean_eq :in2 :exec_dup (:string_contains_char :in2 :integer_eq :string_length :string_iterate (:string_contains :string_contains_char :integer_mult false :string_contains :string_indexof_char :boolean_and 1 :string_parse_to_chars :boolean_and :string_butlast :in2 :string_occurencesof_char "" :string_drop :string_length :string_butlast :string_rest 0 :string_indexof_char "abcdefghijklmnopqrstuvwxyz" :string_contains) :string_length :string_replace_char :string_replace_char :in1 true :exec_if (:exec_dup (:string_occurencesof_char true)) ())), :runtime (0.0032752839999999994 0.003172620000000002 0.0032004679999999997 0.003205272000000002 0.003058752000000001 0.0031511000000000004 0.003196444000000002), :total-error 1, :amalgamated-error 1.02225994}
{:generation 25, :program (:string_concat :string_contains_char :integer_subtract 1 :integer_quot true :integer_eq :boolean_not :string_contains :string_contains :integer_add :string_occurencesof_char true :string_contains_char :integer_add :integer_mult :string_length :string_parse_to_chars :string_contains_char :integer_quot :string_drop :exec_dup () 1 :string_length :string_length :integer_subtract :string_contains :string_length :string_from_char 1 false :boolean_and :string_concat :string_replace_char "" :in2 :string_remove_char :string_butlast true 1 :string_rest :string_rest "abcdefghijklmnopqrstuvwxyz" :exec_dup (:integer_quot :string_contains :string_contains :string_length :boolean_not :string_eq :integer_mult)), :runtime (0.003252907999999998 0.003237903999999999 0.0032064000000000007 0.00325212 0.003123976000000001 0.0026859640000000003 0.0019332640000000003), :total-error 1, :amalgamated-error 1.020692536}
{:generation 26, :program (:integer_add :string_reverse true :string_occurencesof_char "" :string_remove_char :string_contains false true :string_iterate (:integer_mult :string_occurencesof_char true :boolean_not :string_contains) :string_eq :string_reverse :string_iterate (:integer_mult :string_contains false :string_butlast :string_replace_char :in2 :integer_eq :integer_quot :string_replace_char :string_concat :string_nth :string_butlast :boolean_and :string_rest :string_parse_to_chars :string_parse_to_chars :string_replace_char 1 true) :string_contains :string_replace_char :integer_add :string_concat :string_contains), :runtime (0.0030676800000000006 0.0031546720000000007 0.0031447039999999995 0.0031685159999999997 0.003116648 0.0031391799999999997 0.0031337000000000014), :total-error 1, :amalgamated-error 1.0219251}
{:generation 27, :program (:string_concat :string_contains_char 1 :integer_quot true 1 :integer_eq :boolean_not :integer_mult :string_contains :string_contains :integer_add :string_occurencesof_char :string_contains_char 2 :integer_add :integer_mult :string_length :string_parse_to_chars :string_contains_char :integer_quot :string_drop :exec_dup () 1 :string_contains :string_length :string_length :integer_subtract :string_contains :string_length :string_from_char 1 :string_from_char false :boolean_and :boolean_and :string_concat :string_replace_char "" :in2 :string_butlast true 1 :string_rest :string_rest "abcdefghijklmnopqrstuvwxyz" :exec_dup (:string_contains :string_contains :string_contains :string_length :boolean_not :string_eq :integer_mult)), :runtime (0.003136379999999999 0.0031957959999999994 0.0032240799999999994 0.0032331879999999997 0.003155844000000001 0.003228128000000001 0.003218204000000001), :total-error 1, :amalgamated-error 1.02239162}
{:generation 28, :program (:integer_mult :in2 :string_from_char :string_butlast :string_parse_to_chars :string_iterate (:string_iterate (:string_rest :string_take :boolean_eq :string_take :string_rest :string_from_char :in2 :in2 :string_take :in2 false :string_iterate (:string_contains false :boolean_or :string_concat :string_iterate (:string_contains :boolean_or :string_contains :boolean_eq :string_from_char :string_eq :integer_subtract :string_occurencesof_char :string_contains "abcdefghijklmnopqrstuvwxyz" :string_rest :string_parse_to_chars) :string_parse_to_chars :string_nth :boolean_not)) :string_replace_char :string_replace_char :string_occurencesof_char) :boolean_and 2 "abcdefghijklmnopqrstuvwxyz" :string_iterate (:string_concat :string_contains :string_replace_char :exec_dup (true :string_butlast :exec_dup (:boolean_eq :string_occurencesof_char :string_iterate (true))))), :runtime (0.003194139999999998 0.003245287999999998 0.029723104000000007 0.0032521039999999983 0.003191684000000001 0.0031297319999999997 0.0032501599999999993), :total-error 1, :amalgamated-error 1.048986212}
{:generation 29, :program (:integer_mult :integer_add :in2 :string_iterate (:string_occurencesof_char :integer_subtract :integer_quot false :string_drop :boolean_not :string_contains :string_contains :integer_add true "" :boolean_and :in2 :string_parse_to_chars :boolean_and false :string_drop :string_contains :integer_subtract :boolean_or :string_occurencesof_char :string_length :string_indexof_char 1 :integer_subtract "" :string_occurencesof_char :string_reverse :boolean_eq :boolean_not :string_indexof_char :string_contains :string_butlast :string_contains_char :boolean_and :string_concat :string_contains) "" :string_occurencesof_char :in2 :integer_quot :string_nth 0 :string_length :string_nth ""), :runtime (0.0031296039999999985 0.003204935999999999 0.0031961959999999992 0.003137444000000001 0.0030779040000000002 0.003229651999999999 0.003161423999999997), :total-error 1, :amalgamated-error 1.02213716}
{:generation 30, :program (:exec_dup (:string_indexof_char :in2 0 :integer_quot :string_nth :string_rest :string_rest :string_iterate (:string_take :integer_mult :string_indexof_char :boolean_not :string_parse_to_chars :string_eq :in2 :string_parse_to_chars :in1 :in2 :integer_eq :integer_subtract :string_parse_to_chars :integer_add :string_occurencesof_char :string_iterate (:string_iterate (:string_indexof_char true :string_reverse 1 false false :boolean_or :string_nth) :string_reverse 0 :string_length :integer_add :integer_add :boolean_not 0 true :string_occurencesof_char :string_occurencesof_char) :boolean_eq :boolean_eq) :boolean_or :string_length :integer_quot :string_eq :string_indexof_char :string_parse_to_chars)), :runtime (0.0032514840000000002 0.07391996399999996 0.0032132519999999985 0.003222052 0.0031596680000000005 0.0032002800000000002 0.003242368), :total-error 1, :amalgamated-error 1.093209068}
{:generation 31, :program (:string_contains_char :string_iterate (:boolean_eq :integer_quot :in2 true 1 :string_concat :string_replace_char :string_contains :string_length) :string_contains_char :string_contains :string_contains :integer_add :integer_mult :string_parse_to_chars :string_contains_char :integer_quot :string_drop :string_contains :boolean_and 1 :string_contains :integer_subtract :string_contains :string_from_char :string_from_char 0 :integer_eq false :boolean_and :boolean_and :string_concat :string_concat "" :in2 :string_butlast true :string_occurencesof_char 1 :string_rest :integer_quot :string_rest :string_remove_char "abcdefghijklmnopqrstuvwxyz" :exec_dup (:string_contains :string_length :integer_mult)), :runtime (0.003219963999999997 0.00320874 0.006538243999999994 0.0032117440000000008 0.00318334 0.0032053959999999975 0.0032418679999999984), :total-error 1, :amalgamated-error 1.025809296}
{:generation 32, :program (:integer_add :string_rest :in2 :string_contains_char :string_contains_char :string_occurencesof_char :string_length :in2 false false :string_iterate (:in2 :string_butlast :string_replace_char :string_contains :string_parse_to_chars "abcdefghijklmnopqrstuvwxyz" :boolean_and) :string_rest :boolean_eq :string_from_char :string_butlast :string_rest :string_length :string_iterate (:string_nth :string_eq false :string_contains :integer_add :string_nth :boolean_and "" :boolean_and "abcdefghijklmnopqrstuvwxyz" :string_from_char :string_nth :string_eq :string_contains_char :integer_eq :boolean_eq :string_rest true :boolean_and :string_contains :string_nth :string_contains :in1 :string_take :string_replace_char :string_from_char)), :runtime (0.0031680519999999985 0.003143935999999999 0.0031511000000000004 0.09524229999999988 0.002913735999999999 0.0031953880000000017 0.003150560000000002), :total-error 1, :amalgamated-error 1.1139650719999998}
{:generation 33, :program (:integer_mult :string_rest 0 :string_from_char :string_occurencesof_char :string_iterate (:in2 :integer_add :boolean_not :in2 :string_iterate (:string_parse_to_chars :string_eq :boolean_and :integer_mult :in2 :string_parse_to_chars :integer_eq :boolean_or :in2 :boolean_and :boolean_and :string_parse_to_chars :string_iterate (:in1 "" true :integer_mult) :integer_add) :exec_dup (:string_contains :boolean_not :string_contains :string_eq :string_iterate () 1 :string_remove_char :exec_if (:integer_mult :in1 :string_length true :integer_add :string_iterate ()) ()))), :runtime (0.0032179919999999976 0.0031961400000000014 0.0031815840000000025 0.0031537639999999986 0.05444291999999999 0.0019795119999999997 0.003087300000000004), :total-error 1, :amalgamated-error 1.072259212}
{:generation 34, :program (:string_concat 2 :integer_mult true :boolean_and :string_iterate (:string_nth :string_iterate (:integer_mult) :string_contains :string_rest :string_eq :string_contains_char :in2 :boolean_or :in2 :string_parse_to_chars :string_contains_char :exec_dup (2 :string_parse_to_chars :boolean_or false :integer_eq :integer_add true false :string_butlast :string_concat :string_rest :in2 true :string_reverse) :string_replace_char :string_eq :string_contains :in2 :integer_eq :string_contains :string_contains :boolean_or :string_contains)), :runtime (0.003155944 0.0031532400000000003 0.0032704480000000005 0.0031623880000000017 0.003170399999999999 0.003125831999999998 0.0032131840000000004), :total-error 1, :amalgamated-error 1.022251436}
